HIT ID,HOTEL,ASSIGNMENT ID,TIME TAKEN,WORKER ANSWER
3EQPA8A374WBWSLAB671U0KAV3XZJT,( Red Roof Inn St Louis - Forest Park Hampton Avenue),3NXNZ5RS1AX5TQ0PW1T7368T3JW97K,297.0,"SSM Health St. Mary's Hospital; 6420 Clayton Rd{{NEWENTRY}}Kindred Hospital St. Louis; 4930 Lindell Blvd{{NEWENTRY}}St. Louis Children's Hospital; 1 Childrens Pl{{NEWENTRY}}Barnes-Jewish Hospital ; 1 Barnes Jewish Hospital Plaza{{NEWENTRY}}Forest Park Pediatrics, P.C.; 4488 Forest Park Ave #230{{NEWENTRY}}Barnes-Jewish Hospital; 4353 Clayton Avenue {{NEWENTRY}}SLUCare Physician Group; 1438 S Grand Blvd"
3EQPA8A374WBWSLAB671U0KAV3XZJT,( Red Roof Inn St Louis - Forest Park Hampton Avenue),3ZDAD0O1T1DISKFUCK2MO5MTZK5XTW,51.0,None
3EQPA8A374WBWSLAB671U0KAV3XZJT,( Red Roof Inn St Louis - Forest Park Hampton Avenue),35USIKEBNRG7ESQEE17KFT3HDYXN64,70.0,"St. Louis Children's Hospital{{NEWENTRY}}660 S Euclid Ave, St. Louis, {{NEWENTRY}}{{NEWENTRY}}Barnes-Jewish Hospital{{NEWENTRY}}1 Barnes Jewish Hospital Plaza, St. Louis,"
3EQPA8A374WBWSLAB671U0KAV3XZJT,( Red Roof Inn St Louis - Forest Park Hampton Avenue),3VNXK88KKCI74G1LEZWN9KOWP3P9V2,32.0,Barnes-Jewish Hospital; 1 Barnes Jewish Hospital Plaza{{NEWENTRY}}SSM Health St. Mary's Hospital; 6420 Clayton Rd
3EQPA8A374WBWSLAB671U0KAV3XZJT,( Red Roof Inn St Louis - Forest Park Hampton Avenue),3BV8HQ2ZZW10U9WP5X2FTNJHESH6AO,117.0,Barnes-Jewish Hospital;1 Barnes Jewish Hospital Plaza
3EQPA8A374WBWSLAB671U0KAV3XZJT,( Red Roof Inn St Louis - Forest Park Hampton Avenue),33F859I566DLA8LY7UTFLPSD5OKBHR,25.0,None
3EQPA8A374WBWSLAB671U0KAV3XZJT,( Red Roof Inn St Louis - Forest Park Hampton Avenue),3Z4GS9HPNVA1F7CWH4VNPAHN8VX77Z,769.0,Dr. Charles clarke; 4121 union Rd{{NEWENTRY}}St Louis children's hospital library;1 children PI{{NEWENTRY}}BJC central medical group;4921 parkview PI suite 14A{{NEWENTRY}}Barnes Jewish hospital; 4940 forest park Ave
3EQPA8A374WBWSLAB671U0KAV3XZJT,( Red Roof Inn St Louis - Forest Park Hampton Avenue),3DR23U6WE5E9MKODHFCU0G1MJFWET8,148.0,Ranken Jordan Pediatric Bridge Hospital; 11365 Dorsett Rd
3G9UA71JVVUSCIF4SBFI3GRBLAL7JA,( Courtyard St Louis Downtown),3QY7M81QH7MPAMJG0YKWTFM9EDV7KZ,292.0,None
3G9UA71JVVUSCIF4SBFI3GRBLAL7JA,( Courtyard St Louis Downtown),3ZAZR5XV01IQBYDYRGVHWG20JXCCZW,61.0,None
3G9UA71JVVUSCIF4SBFI3GRBLAL7JA,( Courtyard St Louis Downtown),3PS7W85Z8Z2SROXW94W8820BSH0T9V,84.0,"SSM Health Saint Louis University Hospital {{NEWENTRY}}3635 Vista Ave, St. Louis, MO 63110, USA"
3G9UA71JVVUSCIF4SBFI3GRBLAL7JA,( Courtyard St Louis Downtown),386PBUZZXFXTEN20M7LUB54XU9SJLF,7.0,None
3G9UA71JVVUSCIF4SBFI3GRBLAL7JA,( Courtyard St Louis Downtown),3A9AA95ATWMBY92DPXA7RCUCHI65PL,403.0,"Hope Recovery Center VA Medical Center; 515 N Jefferson Ave{{NEWENTRY}}Va team 2 Clinic; 2727 Washington Ave{{NEWENTRY}}Dept of Veterans Affairs - Outpatient Clinic; 2727 Washington Blvd{{NEWENTRY}}VA St. Louis Health Care System; 915 N Grand Blvd{{NEWENTRY}}SLUCare Physician Group; Monteleone Hall, 1438 S Grand Blvd{{NEWENTRY}}St. Louis University Hospital: Cardiology, Heart Surgeons and Heart Doctors; 3635 Vista Ave{{NEWENTRY}}SSM Health DePaul Hospital Foundation; 3800 Park Ave{{NEWENTRY}}SSM Health Cardinal Glennon Children's Hospital; 1465 S Grand Blvd{{NEWENTRY}}Barnes-Jewish Hospital; 4353 Clayton Avenue"
3G9UA71JVVUSCIF4SBFI3GRBLAL7JA,( Courtyard St Louis Downtown),3QY7M81QH7MPAMJG0YKWTFM9EE1K7K,104.0,None
3G9UA71JVVUSCIF4SBFI3GRBLAL7JA,( Courtyard St Louis Downtown),3P59JYT76LKHR4CXOVHTYFSXMCYT2D,92.0,None
3G9UA71JVVUSCIF4SBFI3GRBLAL7JA,( Courtyard St Louis Downtown),3JRJSWSMQHL4N3QJ2063I3XOPGDE3L,252.0,None
3G9UA71JVVUSCIF4SBFI3GRBLAL7JA,( Courtyard St Louis Downtown),3B3WTRP3DB2Y7P3JQPCC7FRLS5Z92X,35.0,None
3BFF0DJK8XC89JV1S8RX0DAG6QOSTM,( Drury Inn Saint Louis Union Station),3HMVI3QICJS6J5TVFX4E1DA795QY18,153.0,"Barnes-Jewish Hospital; 4353 Clayton Ave{{NEWENTRY}}VA St. Louis Health Care System; 915 N Grand Blvd{{NEWENTRY}}SLUCare Physician Group; Monteleone Hall, 1438 S Grand Blvd{{NEWENTRY}}Hope Recovery Center VA Medical Center; 515 N Jefferson Ave"
3BFF0DJK8XC89JV1S8RX0DAG6QOSTM,( Drury Inn Saint Louis Union Station),3MTMREQS4VIYOOBVWFFJRHIU2S3WA4,208.0,"SLUCare Physician Group;Monteleone Hall, 1438 S Grand Blvd, St. Louis, MO 63104, USA{{NEWENTRY}}SSM Health Saint Louis University Hospital;{{NEWENTRY}}3635 Vista Ave, St. Louis, MO 63110, USA"
3BFF0DJK8XC89JV1S8RX0DAG6QOSTM,( Drury Inn Saint Louis Union Station),35GCEFQ6I5O2YYHFYNKG3DY6DKYZ3K,586.0,None
3BFF0DJK8XC89JV1S8RX0DAG6QOSTM,( Drury Inn Saint Louis Union Station),3EJJQNKU9R58QF2N3RF5L4XHN8YHRH,103.0,SSM Health Saint Louis University Hospital Specialty Clinic; 3660 Vista Ave
3BFF0DJK8XC89JV1S8RX0DAG6QOSTM,( Drury Inn Saint Louis Union Station),3ND9UOO81K2FK72ZT6490VY5W51WLN,9.0,None
3BFF0DJK8XC89JV1S8RX0DAG6QOSTM,( Drury Inn Saint Louis Union Station),3HYA4D452RJ78ZUWTBC4HBDWV2PF2O,157.0,"Louis Children's Hospital{{NEWENTRY}}660 S Euclid Ave, St. Louis."
3BFF0DJK8XC89JV1S8RX0DAG6QOSTM,( Drury Inn Saint Louis Union Station),3PM8NZGV8YG504N2VG8RJ0B6FD2QX7,292.0,"Hope Recovery Center VA Medical Center; 515 N Jefferson Ave{{NEWENTRY}}Va team 2 Clinic; 2727 Washington Ave{{NEWENTRY}}Dept of Veterans Affairs - Outpatient Clinic; 2727 Washington Blvd{{NEWENTRY}}VA St. Louis Health Care System; 915 N Grand Blvd{{NEWENTRY}}SLUCare Physician Group; Monteleone Hall, 1438 S Grand Blvd{{NEWENTRY}}SSM Health Cardinal Glennon Children's Hospital; 1465 S Grand Blvd{{NEWENTRY}}St. Louis University Hospital: Cardiology, Heart Surgeons and Heart Doctors; 3635 Vista Ave"
3BFF0DJK8XC89JV1S8RX0DAG6QOSTM,( Drury Inn Saint Louis Union Station),3YMTUJH0DSGRUIRKS90HRUPV6P04TO,35.0,None
3BFF0DJK8XC89JV1S8RX0DAG6QOSTM,( Drury Inn Saint Louis Union Station),3GGAI1SQEVYQCREFCR5NOE6R4VFMCE,83.0,"Hope Recovery Center VA Medical Center; 515 N Jefferson Ave, St{{NEWENTRY}}SLUCare Physician Group; 1438 S Grand Blvd"
3LAZVA75NIRZRS9V2CQSFLRP9O92O8,( Hampton Inn & Suites St Louis - South I-55),3OS4RQUCR9F1WCUSC45FI4G0P7VFBH,160.0,South County Pediatric Associates; 4850 Lemay Ferry Rd #120{{NEWENTRY}}Barnes Jewish South Campus; 5201 Midamerica Pl{{NEWENTRY}}St Anthony's; 12700 Southfork Rd
3LAZVA75NIRZRS9V2CQSFLRP9O92O8,( Hampton Inn & Suites St Louis - South I-55),3KXIR214I4GXAJX79UGLQ7G56BB42I,124.0,None
3LAZVA75NIRZRS9V2CQSFLRP9O92O8,( Hampton Inn & Suites St Louis - South I-55),3R08VXYT7CVG5MDXPC3ZHQG41LX7WQ,6.0,None
3LAZVA75NIRZRS9V2CQSFLRP9O92O8,( Hampton Inn & Suites St Louis - South I-55),3YJ6NA41JBGJ58HYEZE1SMDHZJ1JPL,244.0,"Anthony's Medical Center St Louis{{NEWENTRY}}10010 Kennerly Rd, St. Louis{{NEWENTRY}}{{NEWENTRY}}Barnes-Jewish hospital{{NEWENTRY}}1 Barnes Jewish Hospital Plaza, St. Louis."
3LAZVA75NIRZRS9V2CQSFLRP9O92O8,( Hampton Inn & Suites St Louis - South I-55),34HJIJKLP5W67AV9X40WSCDG3AI4V6,34.0,None
3LAZVA75NIRZRS9V2CQSFLRP9O92O8,( Hampton Inn & Suites St Louis - South I-55),326O153BMIY25VSGVPCFVCJ0GTSED9,330.0,"Centerpointe Hospital Otptnt;5000 Cedar Plaza Pkwy, St. Louis, MO 63128, USA{{NEWENTRY}}Barnes Jewish South Campus;5201 Midamerica Pl, St. Louis, MO 63128, USA{{NEWENTRY}}Kindred Hospital St. Louis - St. Anthony's;10018 Kennerly Rd, St. Louis, MO 63128, USA"
3LAZVA75NIRZRS9V2CQSFLRP9O92O8,( Hampton Inn & Suites St Louis - South I-55),3OS4RQUCR9F1WCUSC45FI4G0P94BFQ,42.0,St. Anthony's Medical Plaza; 12700 Southfork Rd
3LAZVA75NIRZRS9V2CQSFLRP9O92O8,( Hampton Inn & Suites St Louis - South I-55),39PAAFCODM0QOVAZC5140KP8JAUVTQ,45.0,None
3LAZVA75NIRZRS9V2CQSFLRP9O92O8,( Hampton Inn & Suites St Louis - South I-55),3ZQIG0FLQEGIGCET7A6FN4W7N4CWVH,272.0,None
3Z33IC0JC0M5HW3ROXRLK0TBBNFV9U,( Magnolia St. Louis),39LNWE0K4UW0225OD3SVQRLGUKYIUW,256.0,"Hope Recovery Center VA Medical Center;515 N Jefferson Ave, St. Louis, MO 63103, USA{{NEWENTRY}}{{NEWENTRY}}SLUCare Physician Group;Monteleone Hall, 1438 S Grand Blvd, St. Louis, MO 63104, USA"
3Z33IC0JC0M5HW3ROXRLK0TBBNFV9U,( Magnolia St. Louis),33LKR6A5KEKA2JU15RHFTWISU4ST10,174.0,SLUCare Physician Group; 1438 S Grand Blvd{{NEWENTRY}}Windsor Health Center; 100 N 8th St #238
3Z33IC0JC0M5HW3ROXRLK0TBBNFV9U,( Magnolia St. Louis),3MMN5BL1WZ42ZRIWJYUMVB2XYHWM38,6.0,None
3Z33IC0JC0M5HW3ROXRLK0TBBNFV9U,( Magnolia St. Louis),3FIJLY1B6U4306V2V9NGDOLP6CKFPE,37.0,"SSM Health Saint Louis University Hospital {{NEWENTRY}}3635 Vista Ave, St. Louis."
3Z33IC0JC0M5HW3ROXRLK0TBBNFV9U,( Magnolia St. Louis),3SB5N7Y3O346QPNDP8E8G8KTZJF0GY,58.0,None
3Z33IC0JC0M5HW3ROXRLK0TBBNFV9U,( Magnolia St. Louis),3TESA3PJ31A3LDQ6PGZ1RAB3Y9JMMW,37.0,None
3Z33IC0JC0M5HW3ROXRLK0TBBNFV9U,( Magnolia St. Louis),3G2UL9A02DEIB7YRYUQVJWHRDKD67Z,24.0,None
3Z33IC0JC0M5HW3ROXRLK0TBBNFV9U,( Magnolia St. Louis),3907X2AHF05JZCJQ7E89T5R0X9H2PL,40.0,Veterans Affair Med Center; 915 North Grand
3Z33IC0JC0M5HW3ROXRLK0TBBNFV9U,( Magnolia St. Louis),36W0OB37HWEHS6OED89I77ZGWR6ZHL,340.0,Barnes- Jewish hospital;general hospital{{NEWENTRY}}SSM health saint louis university; 3635 Vista Ave{{NEWENTRY}}Shriners hospital for children; 4400 Clayton Ave
3UEDKCTP9VQNN2LMAWFU4VRO0ZL7K9,( Moonrise),3QUO65DNQUOAYOGRBY50AOH26T8OU8,195.0,SSM Health St Mary's Hospital; 6420 Clayton Rd{{NEWENTRY}}Barnes Jewish Hospital; 1 Barnes Jewish Hospital Plaza{{NEWENTRY}}CareSTL Health; 5471 Dr Martin Luther King Dr
3UEDKCTP9VQNN2LMAWFU4VRO0ZL7K9,( Moonrise),3MH9DQ757WCM6BZTNFSS5F80F84GU2,352.0,Metropolitan St. Louis Psychiatric Center; 5351 Delmar Blvd{{NEWENTRY}}Barnes Jewish Psychiatric Support Center; 5355 Delmar Blvd{{NEWENTRY}}childrens communnity hospital; 5912 McPherson Ave{{NEWENTRY}}CareSTL Health; 5471 Dr Martin Luther King Dr{{NEWENTRY}}Affinia Healthcare; 6763 Page Ave{{NEWENTRY}}SSM Health St. Mary's Hospital - St. Louis; 6420 Clayton Rd
3UEDKCTP9VQNN2LMAWFU4VRO0ZL7K9,( Moonrise),3OJSZ2ATDSWMS3YDTBGQRQ3RHOT759,14.0,None
3UEDKCTP9VQNN2LMAWFU4VRO0ZL7K9,( Moonrise),3FDJT1UU748ANI5XC55ZVV8DN815KL,511.0,"St. Louis Children's Hospital{{NEWENTRY}}Childrens Place, St. Louis, {{NEWENTRY}}{{NEWENTRY}}Betty Jean Kerr People's Health centers{{NEWENTRY}}5701 Delmar Blvd, St. Louis,{{NEWENTRY}}{{NEWENTRY}}Barnes-Jewish Hospital{{NEWENTRY}}1 Barnes Jewish Hospital Plaza, St. Louis,{{NEWENTRY}}{{NEWENTRY}}Metropolitan St. Louis Psychiatric Center{{NEWENTRY}}5351 Delmar Blvd, St. Louis,"
3UEDKCTP9VQNN2LMAWFU4VRO0ZL7K9,( Moonrise),3LRKMWOKB5HDDGLWUN6BK3TE77T2Z9,59.0,"SSM Health St. Mary's Hospital; 6420 Clayton Rd, Richmond Heights, MO 63117, USA"
3UEDKCTP9VQNN2LMAWFU4VRO0ZL7K9,( Moonrise),3CPLWGV3MOZUWBSCC8AWZ3UJ30N9NL,62.0,Barnes-Jewish Hospital; 1 Barnes Jewish Hospital Plaza{{NEWENTRY}}SSM Health St. Mary's Hospital; 6420 Clayton Rd
3UEDKCTP9VQNN2LMAWFU4VRO0ZL7K9,( Moonrise),3F0BG9B9MPNKUR8X4DLN2N1KCU5Y7Q,26.0,None
3UEDKCTP9VQNN2LMAWFU4VRO0ZL7K9,( Moonrise),3MTMREQS4VIYOOBVWFFJRHIU2UGAWZ,82.0,St. Mary's Hospital; 1127 Bellevue Ave{{NEWENTRY}}SSM Health St. Mary's Hospital; 6420 Clayton Rd
3UEDKCTP9VQNN2LMAWFU4VRO0ZL7K9,( Moonrise),3RXCAC0YIRPO8ESGKCRN9NQBIIV8GZ,131.0,"Kindred Hospital St. Louis;  4930 Lindell Blvd, St. Louis, MO 63108,"
36QZ6V1589DN9WAQSDH759WIP4VSUD,( Holiday Inn Express St Louis),3EO896NRAWVHX0A5VGNLXWEEOMEJTI,7.0,None
36QZ6V1589DN9WAQSDH759WIP4VSUD,( Holiday Inn Express St Louis),3N8OEVH1FRQFLJWUFCTRBIPDO8EOOR,175.0,None
36QZ6V1589DN9WAQSDH759WIP4VSUD,( Holiday Inn Express St Louis),35BLDD71I6XMA7JYIXQMM8QP45JZVB,145.0,"Kindred Hospital St. Louis{{NEWENTRY}}4930 Lindell Blvd, St. Louis,{{NEWENTRY}}{{NEWENTRY}}Barnes Jewish Hospital Surgery Clinics{{NEWENTRY}}4940 Forest Park Ave #420, St. Louis,{{NEWENTRY}}{{NEWENTRY}}WASH U PMR{{NEWENTRY}}Lindell Blvd, St. Louis"
36QZ6V1589DN9WAQSDH759WIP4VSUD,( Holiday Inn Express St Louis),3WETL7AQWT84RKXQRZD0E9RBCMM35F,34.0,"Barnes-Jewish Hospital; 1 Barnes Jewish Hospital Plaza, St. Louis, MO 63110, USA"
36QZ6V1589DN9WAQSDH759WIP4VSUD,( Holiday Inn Express St Louis),351SEKWQS0H0HJKTCN0Y8KO9PU4DMG,231.0,Kindred Hospital St. Louis; 4930 Lindell Blvd{{NEWENTRY}}St. Louis Children's Hospital; 1 Childrens Pl{{NEWENTRY}}Barnes Jewish Hospital Surgery Clinics; 4940 Forest Park Ave #420
36QZ6V1589DN9WAQSDH759WIP4VSUD,( Holiday Inn Express St Louis),3PEIJLRY6TTAK1JO7P7XBPTS3FIXWJ,427.0,Kindred hospital st. Louis; 4930 lindell Blvd{{NEWENTRY}} barnes jewish hospital surgery clinics; 4940 forest park Ave{{NEWENTRY}}the rehabilitation institute of St.Louis; 4455 Duncan Ave
36QZ6V1589DN9WAQSDH759WIP4VSUD,( Holiday Inn Express St Louis),358010RM5ETX5CJJHF21PNAEW6HVX8,393.0,"STL - St. Louis Intl Airport, MO, United States"
36QZ6V1589DN9WAQSDH759WIP4VSUD,( Holiday Inn Express St Louis),36U2A8VAG1Z8P6FHN7AW6S66IE5YKW,105.0,None
36QZ6V1589DN9WAQSDH759WIP4VSUD,( Holiday Inn Express St Louis),3S4AW7T80BI3B5JFJ0YQ53FECDLL4B,1181.0,"Barnes-Jewish Hospital; 1 Barnes Jewish Hospital Plaza, St. Louis, MO 63110{{NEWENTRY}}SLUCare Physician Group; Monteleone Hall, 1438 S Grand Blvd, St. Louis, MO 63104{{NEWENTRY}}CareSTL Health; 5471 Dr Martin Luther King Dr, St. Louis, MO 63112{{NEWENTRY}}VA St. Louis Health Care System; 915 N Grand Blvd, St. Louis, MO 63106{{NEWENTRY}}Kindred Hospital St. Louis; 4930 Lindell Blvd, St. Louis, MO 63108{{NEWENTRY}}Saint Louis Children's Hospital-Neurology Department; 1 Childrens Pl, St. Louis, MO 63110{{NEWENTRY}}Washington University Hospital; 1 Barnes Jewish Hospital Plaza, St. Louis, MO 63110{{NEWENTRY}}Barnes-Jewish Center for Advanced Medicine; 4921 Parkview Pl, St. Louis, MO 63110{{NEWENTRY}}BJC Central Medical Group; 4921 Parkview Pl Suite 14A, St. Louis, MO 63110{{NEWENTRY}}Forest Park Pediatrics, P.C.,; 4488 Forest Park Ave #230, St. Louis, MO 63108{{NEWENTRY}}The Rehabilitation Institute of St. Louis - Central West End; 4455 Duncan Ave, St. Louis, MO 63110"
3UL5XDRDNCJO5X52DE3UG641ETW589,( Courtyard Saint Louis Westport Plaza),3E13VNJ1NNVKT5EQBFIBFPGJJOZ1IG,7.0,yes
3UL5XDRDNCJO5X52DE3UG641ETW589,( Courtyard Saint Louis Westport Plaza),3II4UPYCOJ7R2YIL4G7FPT8EZVKDQM,80.0,Phoenix Home Care; 2088 Craigshire Rd{{NEWENTRY}}Ranken Jordan Pediatric Bridge Hospital; 11365 Dorsett Rd
3UL5XDRDNCJO5X52DE3UG641ETW589,( Courtyard Saint Louis Westport Plaza),3LEIZ60CDJZOD06VFWLQUQ1SDDVZ9Q,26.0,"Barnes-Jewish Hospital{{NEWENTRY}}1 Barnes Jewish Hospital Plaza, St. Louis."
3UL5XDRDNCJO5X52DE3UG641ETW589,( Courtyard Saint Louis Westport Plaza),3R08VXYT7CVG5MDXPC3ZHQG41LBW7T,33.0,None
3UL5XDRDNCJO5X52DE3UG641ETW589,( Courtyard Saint Louis Westport Plaza),30JNVC0OR9K8EENNQCQ5GENCRO9QH6,184.0,"Ranken Jordan Pediatric Bridge Hospital;11365 Dorsett Rd, Maryland Heights, MO 63043, USA{{NEWENTRY}}Barnes-Jewish West County Hospital;12634 Olive Blvd, St. Louis, MO 63141, USA"
3UL5XDRDNCJO5X52DE3UG641ETW589,( Courtyard Saint Louis Westport Plaza),3PS7W85Z8Z2SROXW94W8820BSIB9TO,101.0,"Ranken Jordan Pediatric Bridge Hospital; 11365 Dorsett Rd, Maryland Heights{{NEWENTRY}}Phoenix Home Care; 2088 Craigshire Rd, St. Louis"
3UL5XDRDNCJO5X52DE3UG641ETW589,( Courtyard Saint Louis Westport Plaza),3ZQIG0FLQEGIGCET7A6FN4W7N4EWVJ,531.0,Ranken Jordan pediatric bridge hospital; 11365 Dorsett Rd{{NEWENTRY}}Barnes- Jewish west county hospital; 12634 Olive Blvd{{NEWENTRY}}Dr.Connie D Simmons Ranken Jordan-A pediatric Specialty hospital; 11365 Dorsett Rd
3UL5XDRDNCJO5X52DE3UG641ETW589,( Courtyard Saint Louis Westport Plaza),3PQ8K71NHXK1HB8SVAJR9SL3ABDAAO,74.0,Ranken Jordan Pediatric Bridge Hospital; 11365 Dorsett Rd
3UL5XDRDNCJO5X52DE3UG641ETW589,( Courtyard Saint Louis Westport Plaza),3FTOP5WARFOGHRDEXEZBDLC9RC00J8,108.0,"Ranken Jordan Pediatric Bridge Hospital; 11365 Dorsett Rd, Maryland Heights, MO 63043"
3J6BHNX0U9SCQND9Q3WJ0SDE0EPNKZ,( Missouri Athletic Club),3I2PTA7R3TUZG4OVWXT2T634J3VKQI,162.0,None
3J6BHNX0U9SCQND9Q3WJ0SDE0EPNKZ,( Missouri Athletic Club),3Y9N9SS8LYBZVXCJ65VJCLF3P2N3DO,189.0,None
3J6BHNX0U9SCQND9Q3WJ0SDE0EPNKZ,( Missouri Athletic Club),3907X2AHF05JZCJQ7E89T5R0X87P2W,8.0,None
3J6BHNX0U9SCQND9Q3WJ0SDE0EPNKZ,( Missouri Athletic Club),3E47SOBEYQW4G8OORC7VWLZANLRCII,229.0,Hope Recovery Center VA Medical Center; 515 N Jefferson Ave{{NEWENTRY}}Va team 2 Clinic; 2727 Washington Ave{{NEWENTRY}}Dept of Veterans Affairs - Outpatient Clinic; 2727 Washington Blvd{{NEWENTRY}}Windsor Health Center; 100 N 8th St #238{{NEWENTRY}}Comprehensive Behavioral Health Center of St. Clair County; 505 S 8th St
3J6BHNX0U9SCQND9Q3WJ0SDE0EPNKZ,( Missouri Athletic Club),39LOEL67OS5NE2GSPXK3QT12ECL83K,371.0,"St. Luke's Des Peres Hospital; 2345 Dougherty Ferry Rd, St. Louis, MO 63122, USA{{NEWENTRY}}Mercy Hospital St. Louis; 615 S New Ballas Rd, St. Louis, MO 63141, USA"
3J6BHNX0U9SCQND9Q3WJ0SDE0EPNKZ,( Missouri Athletic Club),3TOK3KHVJTI80D4VYQCP0W3IYJBO78,35.0,None
3J6BHNX0U9SCQND9Q3WJ0SDE0EPNKZ,( Missouri Athletic Club),34QN5IT0TZRRXAHV6A2KOV3VB0580T,88.0,"Barnes-Jewish Hospital{{NEWENTRY}}1 Barnes Jewish Hospital Plaza, St. Louis,{{NEWENTRY}}{{NEWENTRY}}St Louis Childrens Hospital Library{{NEWENTRY}}1 Childrens Pl, St. Louis,"
3J6BHNX0U9SCQND9Q3WJ0SDE0EPNKZ,( Missouri Athletic Club),35BLDD71I6XMA7JYIXQMM8QP46DZV7,42.0,None
3J6BHNX0U9SCQND9Q3WJ0SDE0EPNKZ,( Missouri Athletic Club),3M81GAB8A0JYN1K1QKG9U3KEWBDQBZ,178.0,SSM Health Cardinal Glennon Children's Hospital;  1465 South Grand Blvd{{NEWENTRY}}Slucare Neurology and Psychology; 1438 South Grand Blvd{{NEWENTRY}}Barnes-Jewish Hospital; 1 Barnes Jewish Hospital Plaza
3XAOZ9UYRZRVNJ4FYLIIZ7CKWJCQ1M,( Best Western Kirkwood Inn),3SITXWYCNV9IWYLDCYB1OBG7TBNXBK,79.0,Missouri Baptist Healthcare; 3844 Lindbergh Blvd # 130
3XAOZ9UYRZRVNJ4FYLIIZ7CKWJCQ1M,( Best Western Kirkwood Inn),3P4RDNWND56ROMUU14OHJPC5D4JJIK,104.0,Missouri Baptist Healthcare; 3844 Lindbergh Blvd # 130
3XAOZ9UYRZRVNJ4FYLIIZ7CKWJCQ1M,( Best Western Kirkwood Inn),3HVVDCPGTES7SP54HGOO7JT21QNYTR,12.0,None
