WorkTimeInSeconds,Input.Restaurant,Input.Question,Answer.Q1AnswerPart1
73,Gather,Does this restaurant serve Chinese food?,-100
34,Gather,Does this restaurant serve Chinese food?,-100
101,Gather,Does this restaurant serve Chinese food?,-80
32,Gather,Does this restaurant serve Chinese food?,100
13,Gather,Does this restaurant serve Chinese food?,-100
96,Gather,Does this restaurant serve Chinese food?,-100
8,Gather,Does this restaurant serve Chinese food?,-80
41,Gather,Does this restaurant serve Chinese food?,-80
33,Gather,Does this restaurant serve Chinese food?,-100
267,Gather,Does this restaurant serve Chinese food?,-100
4,Gather,Does this restaurant serve Chinese food?,-100
19,Cheese Board Pizza,Does this restaurant have its own website?,100
40,Cheese Board Pizza,Does this restaurant have its own website?,100
42,Cheese Board Pizza,Does this restaurant have its own website?,100
30,Cheese Board Pizza,Does this restaurant have its own website?,100
86,Cheese Board Pizza,Does this restaurant have its own website?,100
222,Cheese Board Pizza,Does this restaurant have its own website?,0
33,Cheese Board Pizza,Does this restaurant have its own website?,100
22,Cheese Board Pizza,Does this restaurant have its own website?,100
19,Cheese Board Pizza,Does this restaurant have its own website?,100
22,Cheese Board Pizza,Does this restaurant have its own website?,100
23,Cheese Board Pizza,Does this restaurant have its own website?,80
11,Cheese Board Pizza,Does this restaurant have its own website?,0
10,Cheese Board Pizza,Does this restaurant have its own website?,100
29,Cheese Board Pizza,Does this restaurant have its own website?,100
43,Cheese Board Pizza,Does this restaurant have its own website?,100
142,Cheese Board Pizza,Does this restaurant have its own website?,100
48,Cheese Board Pizza,Does this restaurant have its own website?,100
50,Cheese Board Pizza,Does this restaurant have its own website?,100
167,Cheese Board Pizza,Does this restaurant have its own website?,-100
30,Cheese Board Pizza,Does this restaurant have its own website?,100
10,Cheese Board Pizza,Does this restaurant have its own website?,100
110,Cheese Board Pizza,Does this restaurant have its own website?,100
166,Cheese Board Pizza,Does this restaurant have its own website?,100
40,Cheese Board Pizza,Does this restaurant have its own website?,100
24,Cheese Board Pizza,Does this restaurant have its own website?,100
42,Cheese Board Pizza,Does this restaurant have its own website?,100
46,Cheese Board Pizza,Does this restaurant have its own website?,100
489,Cheese Board Pizza,Does this restaurant have its own website?,100
21,Cheese Board Pizza,Does this restaurant have its own website?,100
17,Cheese Board Pizza,Does this restaurant have its own website?,100
39,FIVE,Does this restaurant have drinks for those under 21?,100
18,FIVE,Does this restaurant have drinks for those under 21?,80
47,FIVE,Does this restaurant have drinks for those under 21?,80
45,FIVE,Does this restaurant have drinks for those under 21?,100
19,FIVE,Does this restaurant have drinks for those under 21?,100
40,FIVE,Does this restaurant have drinks for those under 21?,100
46,FIVE,Does this restaurant have drinks for those under 21?,100
30,FIVE,Does this restaurant have drinks for those under 21?,100
19,FIVE,Does this restaurant have drinks for those under 21?,-60
11,FIVE,Does this restaurant have drinks for those under 21?,0
33,FIVE,Does this restaurant have drinks for those under 21?,80
51,FIVE,Does this restaurant have drinks for those under 21?,-80
21,FIVE,Does this restaurant have drinks for those under 21?,100
80,FIVE,Does this restaurant have drinks for those under 21?,-60
9,FIVE,Does this restaurant have drinks for those under 21?,0
81,FIVE,Does this restaurant have drinks for those under 21?,0
86,FIVE,Does this restaurant have drinks for those under 21?,80
38,FIVE,Does this restaurant have drinks for those under 21?,100
78,FIVE,Does this restaurant have drinks for those under 21?,100
263,FIVE,Does this restaurant have drinks for those under 21?,60
46,FIVE,Does this restaurant have drinks for those under 21?,-80
176,FIVE,Does this restaurant have drinks for those under 21?,100
51,FIVE,Does this restaurant have drinks for those under 21?,-80
35,FIVE,Does this restaurant have drinks for those under 21?,60
55,FIVE,Does this restaurant have drinks for those under 21?,100
36,FIVE,Does this restaurant have drinks for those under 21?,100
37,FIVE,Does this restaurant have drinks for those under 21?,0
25,FIVE,Does this restaurant have drinks for those under 21?,-80
108,FIVE,Does this restaurant have drinks for those under 21?,-80
61,FIVE,Does this restaurant have drinks for those under 21?,80
32,Gather,Does this restaurant serve breakfast?,60
17,Gather,Does this restaurant serve breakfast?,-100
46,Gather,Does this restaurant serve breakfast?,60
46,Gather,Does this restaurant serve breakfast?,-100
38,Gather,Does this restaurant serve breakfast?,-100
189,Gather,Does this restaurant serve breakfast?,-80
136,Gather,Does this restaurant serve breakfast?,60
81,Gather,Does this restaurant serve breakfast?,-60
10,Gather,Does this restaurant serve breakfast?,-100
47,Gather,Does this restaurant serve breakfast?,60
74,Gather,Does this restaurant serve breakfast?,60
8,Gather,Does this restaurant serve breakfast?,-80
25,Gather,Does this restaurant serve breakfast?,-100
32,Gather,Does this restaurant serve breakfast?,-80
60,Gather,Does this restaurant serve breakfast?,-80
31,Gather,Does this restaurant serve breakfast?,-100
28,Gather,Does this restaurant serve breakfast?,-100
45,Gather,Does this restaurant serve breakfast?,-100
56,Gather,Does this restaurant serve breakfast?,80
27,Gather,Does this restaurant serve breakfast?,-100
55,Gather,Does this restaurant serve breakfast?,100
19,Gather,Does this restaurant serve breakfast?,80
28,Gather,Does this restaurant serve breakfast?,100
14,Gather,Does this restaurant serve breakfast?,80
46,Gather,Does this restaurant serve breakfast?,100
20,Gather,Does this restaurant serve breakfast?,-80
238,Gather,Does this restaurant serve breakfast?,-100
52,Gather,Does this restaurant serve breakfast?,60
167,Gather,Does this restaurant serve breakfast?,-80
6,Gather,Does this restaurant serve breakfast?,0
78,Great China,Does this restaurant have a drive-through?,-80
8,Great China,Does this restaurant have a drive-through?,-100
50,Great China,Does this restaurant have a drive-through?,-80
8,Great China,Does this restaurant have a drive-through?,-60
9,Great China,Does this restaurant have a drive-through?,-100
33,Great China,Does this restaurant have a drive-through?,0
29,Great China,Does this restaurant have a drive-through?,-60
287,Great China,Does this restaurant have a drive-through?,-80
45,Great China,Does this restaurant have a drive-through?,-100
46,Great China,Does this restaurant have a drive-through?,-60
80,Great China,Does this restaurant have a drive-through?,-80
43,Great China,Does this restaurant have a drive-through?,-100
15,Great China,Does this restaurant have a drive-through?,-100
557,Great China,Does this restaurant have a drive-through?,-60
75,Great China,Does this restaurant have a drive-through?,-100
48,Great China,Does this restaurant have a drive-through?,-100
33,Great China,Does this restaurant have a drive-through?,-60
66,Great China,Does this restaurant have a drive-through?,-80
29,Great China,Does this restaurant have a drive-through?,-80
49,Great China,Does this restaurant have a drive-through?,0
9,Great China,Does this restaurant have a drive-through?,0
37,Great China,Does this restaurant have a drive-through?,-100
132,Great China,Does this restaurant have a drive-through?,-60
6,Great China,Does this restaurant have a drive-through?,-80
242,Great China,Does this restaurant have a drive-through?,-80
76,Great China,Does this restaurant have a drive-through?,-100
8,Great China,Does this restaurant have a drive-through?,-80
7,Great China,Does this restaurant have a drive-through?,-80
26,Great China,Does this restaurant have a drive-through?,-80
63,Great China,Does this restaurant have a drive-through?,-80
72,Angeline's Louisiana Kitchen,Does this restaurant have a romantic atmosphere?,-60
60,Angeline's Louisiana Kitchen,Does this restaurant have a romantic atmosphere?,-100
9,Angeline's Louisiana Kitchen,Does this restaurant have a romantic atmosphere?,-60
224,Angeline's Louisiana Kitchen,Does this restaurant have a romantic atmosphere?,-80
43,Angeline's Louisiana Kitchen,Does this restaurant have a romantic atmosphere?,-60
22,Angeline's Louisiana Kitchen,Does this restaurant have a romantic atmosphere?,-80
42,Angeline's Louisiana Kitchen,Does this restaurant have a romantic atmosphere?,-80
15,Angeline's Louisiana Kitchen,Does this restaurant have a romantic atmosphere?,80
35,Angeline's Louisiana Kitchen,Does this restaurant have a romantic atmosphere?,-100
37,Angeline's Louisiana Kitchen,Does this restaurant have a romantic atmosphere?,-80
43,Angeline's Louisiana Kitchen,Does this restaurant have a romantic atmosphere?,0
112,Angeline's Louisiana Kitchen,Does this restaurant have a romantic atmosphere?,-80
50,Angeline's Louisiana Kitchen,Does this restaurant have a romantic atmosphere?,60
21,Angeline's Louisiana Kitchen,Does this restaurant have a romantic atmosphere?,-80
38,Angeline's Louisiana Kitchen,Does this restaurant have a romantic atmosphere?,-100
131,Angeline's Louisiana Kitchen,Does this restaurant have a romantic atmosphere?,80
7,Angeline's Louisiana Kitchen,Does this restaurant have a romantic atmosphere?,-100
22,Angeline's Louisiana Kitchen,Does this restaurant have a romantic atmosphere?,-80
26,Angeline's Louisiana Kitchen,Does this restaurant have a romantic atmosphere?,60
125,Angeline's Louisiana Kitchen,Does this restaurant have a romantic atmosphere?,-60
132,Angeline's Louisiana Kitchen,Does this restaurant have a romantic atmosphere?,-100
41,Angeline's Louisiana Kitchen,Does this restaurant have a romantic atmosphere?,-100
7,Angeline's Louisiana Kitchen,Does this restaurant have a romantic atmosphere?,-80
45,Angeline's Louisiana Kitchen,Does this restaurant have a romantic atmosphere?,60
9,Angeline's Louisiana Kitchen,Does this restaurant have a romantic atmosphere?,0
22,Angeline's Louisiana Kitchen,Does this restaurant have a romantic atmosphere?,-80
20,Angeline's Louisiana Kitchen,Does this restaurant have a romantic atmosphere?,-100
83,Angeline's Louisiana Kitchen,Does this restaurant have a romantic atmosphere?,-100
61,Angeline's Louisiana Kitchen,Does this restaurant have a romantic atmosphere?,-80
30,Angeline's Louisiana Kitchen,Does this restaurant have a romantic atmosphere?,-80
56,Urbann Turbann,Does this restaurant have a drive-through?,-60
8,Urbann Turbann,Does this restaurant have a drive-through?,-100
57,Urbann Turbann,Does this restaurant have a drive-through?,-100
113,Urbann Turbann,Does this restaurant have a drive-through?,-100
20,Urbann Turbann,Does this restaurant have a drive-through?,-80
27,Urbann Turbann,Does this restaurant have a drive-through?,-100
26,Urbann Turbann,Does this restaurant have a drive-through?,-60
50,Urbann Turbann,Does this restaurant have a drive-through?,-100
10,Urbann Turbann,Does this restaurant have a drive-through?,-100
156,Urbann Turbann,Does this restaurant have a drive-through?,-100
37,Urbann Turbann,Does this restaurant have a drive-through?,-100
69,Urbann Turbann,Does this restaurant have a drive-through?,-100
137,Urbann Turbann,Does this restaurant have a drive-through?,-100
7,Urbann Turbann,Does this restaurant have a drive-through?,-100
10,Urbann Turbann,Does this restaurant have a drive-through?,-80
10,Urbann Turbann,Does this restaurant have a drive-through?,80
28,Urbann Turbann,Does this restaurant have a drive-through?,-100
38,Urbann Turbann,Does this restaurant have a drive-through?,-100
64,Urbann Turbann,Does this restaurant have a drive-through?,-80
25,Urbann Turbann,Does this restaurant have a drive-through?,-100
53,Urbann Turbann,Does this restaurant have a drive-through?,-80
28,Urbann Turbann,Does this restaurant have a drive-through?,-100
25,Urbann Turbann,Does this restaurant have a drive-through?,60
176,Urbann Turbann,Does this restaurant have a drive-through?,-100
29,Urbann Turbann,Does this restaurant have a drive-through?,-100
24,Urbann Turbann,Does this restaurant have a drive-through?,-80
31,Urbann Turbann,Does this restaurant have a drive-through?,-60
40,Urbann Turbann,Does this restaurant have a drive-through?,0
6,Urbann Turbann,Does this restaurant have a drive-through?,-100
43,Urbann Turbann,Does this restaurant have a drive-through?,-100
59,Angeline's Louisiana Kitchen,Does this restaurant have drinks for those under 21?,-100
29,Angeline's Louisiana Kitchen,Does this restaurant have drinks for those under 21?,100
27,Angeline's Louisiana Kitchen,Does this restaurant have drinks for those under 21?,100
26,Angeline's Louisiana Kitchen,Does this restaurant have drinks for those under 21?,80
11,Angeline's Louisiana Kitchen,Does this restaurant have drinks for those under 21?,80
13,Angeline's Louisiana Kitchen,Does this restaurant have drinks for those under 21?,80
33,Angeline's Louisiana Kitchen,Does this restaurant have drinks for those under 21?,100
36,Angeline's Louisiana Kitchen,Does this restaurant have drinks for those under 21?,-60
22,Angeline's Louisiana Kitchen,Does this restaurant have drinks for those under 21?,60
145,Angeline's Louisiana Kitchen,Does this restaurant have drinks for those under 21?,60
31,Angeline's Louisiana Kitchen,Does this restaurant have drinks for those under 21?,100
111,Angeline's Louisiana Kitchen,Does this restaurant have drinks for those under 21?,100
5,Angeline's Louisiana Kitchen,Does this restaurant have drinks for those under 21?,100
53,Angeline's Louisiana Kitchen,Does this restaurant have drinks for those under 21?,100
40,Angeline's Louisiana Kitchen,Does this restaurant have drinks for those under 21?,100
43,Angeline's Louisiana Kitchen,Does this restaurant have drinks for those under 21?,60
7,Angeline's Louisiana Kitchen,Does this restaurant have drinks for those under 21?,100
60,Angeline's Louisiana Kitchen,Does this restaurant have drinks for those under 21?,100
85,Angeline's Louisiana Kitchen,Does this restaurant have drinks for those under 21?,100
11,Angeline's Louisiana Kitchen,Does this restaurant have drinks for those under 21?,100
58,Angeline's Louisiana Kitchen,Does this restaurant have drinks for those under 21?,100
40,Angeline's Louisiana Kitchen,Does this restaurant have drinks for those under 21?,0
78,Angeline's Louisiana Kitchen,Does this restaurant have drinks for those under 21?,-60
94,Angeline's Louisiana Kitchen,Does this restaurant have drinks for those under 21?,-100
29,Angeline's Louisiana Kitchen,Does this restaurant have drinks for those under 21?,100
36,Angeline's Louisiana Kitchen,Does this restaurant have drinks for those under 21?,100
36,Angeline's Louisiana Kitchen,Does this restaurant have drinks for those under 21?,-60
42,Angeline's Louisiana Kitchen,Does this restaurant have drinks for those under 21?,100
19,Angeline's Louisiana Kitchen,Does this restaurant have drinks for those under 21?,60
35,Angeline's Louisiana Kitchen,Does this restaurant have drinks for those under 21?,80
26,La Note Restaurant Provencal,Would a typical meal at this restaurant cost more than $30?,-100
59,La Note Restaurant Provencal,Would a typical meal at this restaurant cost more than $30?,60
49,La Note Restaurant Provencal,Would a typical meal at this restaurant cost more than $30?,-80
105,La Note Restaurant Provencal,Would a typical meal at this restaurant cost more than $30?,-80
24,La Note Restaurant Provencal,Would a typical meal at this restaurant cost more than $30?,-80
140,La Note Restaurant Provencal,Would a typical meal at this restaurant cost more than $30?,-80
84,La Note Restaurant Provencal,Would a typical meal at this restaurant cost more than $30?,60
39,La Note Restaurant Provencal,Would a typical meal at this restaurant cost more than $30?,-100
14,La Note Restaurant Provencal,Would a typical meal at this restaurant cost more than $30?,60
54,La Note Restaurant Provencal,Would a typical meal at this restaurant cost more than $30?,-80
46,La Note Restaurant Provencal,Would a typical meal at this restaurant cost more than $30?,60
10,La Note Restaurant Provencal,Would a typical meal at this restaurant cost more than $30?,60
22,La Note Restaurant Provencal,Would a typical meal at this restaurant cost more than $30?,-80
64,La Note Restaurant Provencal,Would a typical meal at this restaurant cost more than $30?,0
5,La Note Restaurant Provencal,Would a typical meal at this restaurant cost more than $30?,-100
15,La Note Restaurant Provencal,Would a typical meal at this restaurant cost more than $30?,-80
13,La Note Restaurant Provencal,Would a typical meal at this restaurant cost more than $30?,-60
73,La Note Restaurant Provencal,Would a typical meal at this restaurant cost more than $30?,60
202,La Note Restaurant Provencal,Would a typical meal at this restaurant cost more than $30?,-80
49,La Note Restaurant Provencal,Would a typical meal at this restaurant cost more than $30?,-80
48,La Note Restaurant Provencal,Would a typical meal at this restaurant cost more than $30?,100
23,La Note Restaurant Provencal,Would a typical meal at this restaurant cost more than $30?,-60
159,La Note Restaurant Provencal,Would a typical meal at this restaurant cost more than $30?,60
13,La Note Restaurant Provencal,Would a typical meal at this restaurant cost more than $30?,100
60,La Note Restaurant Provencal,Would a typical meal at this restaurant cost more than $30?,-100
49,La Note Restaurant Provencal,Would a typical meal at this restaurant cost more than $30?,0
44,La Note Restaurant Provencal,Would a typical meal at this restaurant cost more than $30?,-80
20,La Note Restaurant Provencal,Would a typical meal at this restaurant cost more than $30?,-100
26,La Note Restaurant Provencal,Would a typical meal at this restaurant cost more than $30?,-80
164,La Note Restaurant Provencal,Would a typical meal at this restaurant cost more than $30?,-100
50,Brazil Cafe,Does this restaurant have a parking lot?,80
141,Brazil Cafe,Does this restaurant have a parking lot?,80
137,Brazil Cafe,Does this restaurant have a parking lot?,-60
82,Brazil Cafe,Does this restaurant have a parking lot?,-100
26,Brazil Cafe,Does this restaurant have a parking lot?,-100
128,Brazil Cafe,Does this restaurant have a parking lot?,80
15,Brazil Cafe,Does this restaurant have a parking lot?,-100
54,Brazil Cafe,Does this restaurant have a parking lot?,-80
205,Brazil Cafe,Does this restaurant have a parking lot?,100
40,Brazil Cafe,Does this restaurant have a parking lot?,100
38,Brazil Cafe,Does this restaurant have a parking lot?,-60
63,Brazil Cafe,Does this restaurant have a parking lot?,-80
15,Brazil Cafe,Does this restaurant have a parking lot?,0
20,Brazil Cafe,Does this restaurant have a parking lot?,-100
238,Brazil Cafe,Does this restaurant have a parking lot?,60
84,Brazil Cafe,Does this restaurant have a parking lot?,100
496,Brazil Cafe,Does this restaurant have a parking lot?,-80
59,Brazil Cafe,Does this restaurant have a parking lot?,-100
19,Brazil Cafe,Does this restaurant have a parking lot?,0
7,Brazil Cafe,Does this restaurant have a parking lot?,-80
79,Brazil Cafe,Does this restaurant have a parking lot?,100
70,Brazil Cafe,Does this restaurant have a parking lot?,0
23,Brazil Cafe,Does this restaurant have a parking lot?,-100
14,Brazil Cafe,Does this restaurant have a parking lot?,-80
33,Brazil Cafe,Does this restaurant have a parking lot?,-60
187,Brazil Cafe,Does this restaurant have a parking lot?,-100
90,Brazil Cafe,Does this restaurant have a parking lot?,60
72,Brazil Cafe,Does this restaurant have a parking lot?,100
17,Brazil Cafe,Does this restaurant have a parking lot?,-80
52,Brazil Cafe,Does this restaurant have a parking lot?,80
89,Ajanta,Does this restaurant have its own website?,100
37,Ajanta,Does this restaurant have its own website?,100
10,Ajanta,Does this restaurant have its own website?,100
22,Ajanta,Does this restaurant have its own website?,100
18,Ajanta,Does this restaurant have its own website?,100
16,Ajanta,Does this restaurant have its own website?,100
23,Ajanta,Does this restaurant have its own website?,100
21,Ajanta,Does this restaurant have its own website?,100
10,Ajanta,Does this restaurant have its own website?,100
46,Ajanta,Does this restaurant have its own website?,100
25,Ajanta,Does this restaurant have its own website?,100
559,Ajanta,Does this restaurant have its own website?,80
15,Ajanta,Does this restaurant have its own website?,100
27,Ajanta,Does this restaurant have its own website?,100
18,Ajanta,Does this restaurant have its own website?,100
50,Ajanta,Does this restaurant have its own website?,100
22,Ajanta,Does this restaurant have its own website?,100
21,Ajanta,Does this restaurant have its own website?,100
32,Ajanta,Does this restaurant have its own website?,100
13,Ajanta,Does this restaurant have its own website?,100
39,Ajanta,Does this restaurant have its own website?,100
50,Ajanta,Does this restaurant have its own website?,100
12,Ajanta,Does this restaurant have its own website?,100
12,Ajanta,Does this restaurant have its own website?,100
24,Ajanta,Does this restaurant have its own website?,100
36,Ajanta,Does this restaurant have its own website?,100
5,Ajanta,Does this restaurant have its own website?,100
44,Ajanta,Does this restaurant have its own website?,100
12,Ajanta,Does this restaurant have its own website?,100
23,Ajanta,Does this restaurant have its own website?,100
8,Ajanta,Does this restaurant serve Chinese food?,-100
48,Ajanta,Does this restaurant serve Chinese food?,-80
20,Ajanta,Does this restaurant serve Chinese food?,-60
54,Ajanta,Does this restaurant serve Chinese food?,-60
27,Ajanta,Does this restaurant serve Chinese food?,-100
32,Ajanta,Does this restaurant serve Chinese food?,-60
54,Ajanta,Does this restaurant serve Chinese food?,-100
16,Ajanta,Does this restaurant serve Chinese food?,-100
27,Ajanta,Does this restaurant serve Chinese food?,-80
8,Ajanta,Does this restaurant serve Chinese food?,-100
396,Ajanta,Does this restaurant serve Chinese food?,-100
19,Ajanta,Does this restaurant serve Chinese food?,-100
62,Ajanta,Does this restaurant serve Chinese food?,-100
22,Ajanta,Does this restaurant serve Chinese food?,-100
19,Ajanta,Does this restaurant serve Chinese food?,-100
16,Ajanta,Does this restaurant serve Chinese food?,100
38,Ajanta,Does this restaurant serve Chinese food?,-100
32,Ajanta,Does this restaurant serve Chinese food?,-100
43,Ajanta,Does this restaurant serve Chinese food?,-100
18,Ajanta,Does this restaurant serve Chinese food?,-100
36,Ajanta,Does this restaurant serve Chinese food?,-100
33,Ajanta,Does this restaurant serve Chinese food?,-100
27,Ajanta,Does this restaurant serve Chinese food?,-100
25,Ajanta,Does this restaurant serve Chinese food?,-100
172,Ajanta,Does this restaurant serve Chinese food?,-100
21,Ajanta,Does this restaurant serve Chinese food?,-100
72,Ajanta,Does this restaurant serve Chinese food?,80
35,Ajanta,Does this restaurant serve Chinese food?,-100
14,Ajanta,Does this restaurant serve Chinese food?,-100
19,Ajanta,Does this restaurant serve Chinese food?,-80
9,Bette's Oceanview Diner,Does this restaurant serve Chinese food?,-100
104,Bette's Oceanview Diner,Does this restaurant serve Chinese food?,-100
32,Bette's Oceanview Diner,Does this restaurant serve Chinese food?,-100
23,Bette's Oceanview Diner,Does this restaurant serve Chinese food?,-100
9,Bette's Oceanview Diner,Does this restaurant serve Chinese food?,-100
13,Bette's Oceanview Diner,Does this restaurant serve Chinese food?,-100
9,Bette's Oceanview Diner,Does this restaurant serve Chinese food?,-100
31,Bette's Oceanview Diner,Does this restaurant serve Chinese food?,-100
60,Bette's Oceanview Diner,Does this restaurant serve Chinese food?,-80
75,Bette's Oceanview Diner,Does this restaurant serve Chinese food?,-100
25,Bette's Oceanview Diner,Does this restaurant serve Chinese food?,-100
348,Bette's Oceanview Diner,Does this restaurant serve Chinese food?,-80
23,Bette's Oceanview Diner,Does this restaurant serve Chinese food?,-100
62,Bette's Oceanview Diner,Does this restaurant serve Chinese food?,-80
22,Bette's Oceanview Diner,Does this restaurant serve Chinese food?,-100
59,Bette's Oceanview Diner,Does this restaurant serve Chinese food?,-100
89,Bette's Oceanview Diner,Does this restaurant serve Chinese food?,-100
40,Bette's Oceanview Diner,Does this restaurant serve Chinese food?,-100
78,Bette's Oceanview Diner,Does this restaurant serve Chinese food?,-100
29,Bette's Oceanview Diner,Does this restaurant serve Chinese food?,-100
16,Bette's Oceanview Diner,Does this restaurant serve Chinese food?,-100
19,Bette's Oceanview Diner,Does this restaurant serve Chinese food?,-100
48,Bette's Oceanview Diner,Does this restaurant serve Chinese food?,-100
67,Bette's Oceanview Diner,Does this restaurant serve Chinese food?,-100
7,Bette's Oceanview Diner,Does this restaurant serve Chinese food?,-100
9,Bette's Oceanview Diner,Does this restaurant serve Chinese food?,-100
33,Bette's Oceanview Diner,Does this restaurant serve Chinese food?,-80
22,Bette's Oceanview Diner,Does this restaurant serve Chinese food?,-80
190,Bette's Oceanview Diner,Does this restaurant serve Chinese food?,100
40,Bette's Oceanview Diner,Does this restaurant serve Chinese food?,-100
21,Rivoli,Does this restaurant serve breakfast?,-100
81,Rivoli,Does this restaurant serve breakfast?,-100
125,Rivoli,Does this restaurant serve breakfast?,100
57,Rivoli,Does this restaurant serve breakfast?,-100
24,Rivoli,Does this restaurant serve breakfast?,-100
41,Rivoli,Does this restaurant serve breakfast?,-100
193,Rivoli,Does this restaurant serve breakfast?,-80
60,Rivoli,Does this restaurant serve breakfast?,-100
56,Rivoli,Does this restaurant serve breakfast?,-100
61,Rivoli,Does this restaurant serve breakfast?,-100
24,Rivoli,Does this restaurant serve breakfast?,-80
161,Rivoli,Does this restaurant serve breakfast?,-100
69,Rivoli,Does this restaurant serve breakfast?,-100
55,Rivoli,Does this restaurant serve breakfast?,-80
15,Rivoli,Does this restaurant serve breakfast?,-80
22,Rivoli,Does this restaurant serve breakfast?,-100
46,Rivoli,Does this restaurant serve breakfast?,-100
180,Rivoli,Does this restaurant serve breakfast?,60
7,Rivoli,Does this restaurant serve breakfast?,-60
14,Rivoli,Does this restaurant serve breakfast?,0
35,Rivoli,Does this restaurant serve breakfast?,-100
53,Rivoli,Does this restaurant serve breakfast?,0
16,Rivoli,Does this restaurant serve breakfast?,-80
32,Rivoli,Does this restaurant serve breakfast?,-100
48,Rivoli,Does this restaurant serve breakfast?,-100
48,Rivoli,Does this restaurant serve breakfast?,-100
22,Rivoli,Does this restaurant serve breakfast?,-100
103,Rivoli,Does this restaurant serve breakfast?,-60
50,Rivoli,Does this restaurant serve breakfast?,-80
32,Rivoli,Does this restaurant serve breakfast?,-100
27,Oliveto Restaurant,Does this restaurant serve Chinese food?,-100
18,Oliveto Restaurant,Does this restaurant serve Chinese food?,-100
38,Oliveto Restaurant,Does this restaurant serve Chinese food?,-80
5,Oliveto Restaurant,Does this restaurant serve Chinese food?,-100
11,Oliveto Restaurant,Does this restaurant serve Chinese food?,-100
23,Oliveto Restaurant,Does this restaurant serve Chinese food?,-100
94,Oliveto Restaurant,Does this restaurant serve Chinese food?,-100
