ip_pair, numTrue, numFalse, overallVote
Days Inn Saint Louis - Lindbergh Boulevard/Does this hotel have a gym?, 4, 21, False
SpringHill Suites St Louis Airport-Earth City/Does this hotel have a gym?, 25, 0, True
Holiday Inn Saint Louis-Airport - Oakland PK/Does this hotel have a gym?, 25, 0, True
Hilton St Louis Frontenac/Does this hotel have a gym?, 25, 0, True
Sheraton Westport Plaza/Does this hotel have a gym?, 24, 1, True
Clayton Plaza/Does this hotel have a gym?, 21, 4, True
Comfort Inn Central West End/Does this hotel have a gym?, 19, 6, True
Hilton Garden Inn Saint Louis Airport/Does this hotel have a gym?, 25, 0, True
Sheraton Clayton Plaza Saint Louis/Does this hotel have a gym?, 24, 1, True
Doubletree St Louis at Westport/Does this hotel have a gym?, 24, 1, True
Lehmann House/Does this hotel have a gym?, 4, 21, False
Quality Inn Airport/Does this hotel have a gym?, 20, 5, True
Extended Stay America - St. Louis - Westport - Central/Does this hotel have a gym?, 21, 4, True
Home2 Suites By Hilton St. Louis/Forest Park/Does this hotel have a gym?, 22, 3, True
Napoleon's Retreat/Does this hotel have a gym?, 3, 22, False
Motel 6 St Louis - Airport/Does this hotel have a gym?, 2, 23, False
Lodge At Grants Trail/Does this hotel have a gym?, 2, 23, False
Extended Stay America - St. Louis - Westport - Craig Road/Does this hotel have a gym?, 17, 8, True
Grand Center Inn/Does this hotel have a gym?, 6, 19, False
Americas Best Value Inn St. Louis/Does this hotel have a gym?, 8, 17, False
Candlewood Suites Saint Louis/Does this hotel have a gym?, 22, 3, True
Lumiere Place Casino and Hotel/Does this hotel have a gym?, 24, 1, True
Super 8 St Louis Airport/Does this hotel have a gym?, 1, 24, False
Homewood Suites By Hilton St Louis Galleria/Does this hotel have a gym?, 24, 1, True
Avyan/Does this hotel have a gym?, 24, 1, True
Econo Lodge Southwest/Does this hotel have a gym?, 21, 4, True
Holiday Inn Airport West Earth City/Does this hotel have a gym?, 25, 0, True
Red Roof Inn St Louis Westport/Does this hotel have a gym?, 5, 20, False
Americas Best Value Inn Saint Louis South/Does this hotel have a gym?, 16, 9, True
Americas Best Value Inn St Louis Airport/Does this hotel have a gym?, 6, 19, False
Homewood Suites by Hilton St. Louis Riverport/Does this hotel have a gym?, 22, 3, True
Forget-Me-Not Bed And Breakfast/Does this hotel have a gym?, 2, 23, False
The Ritz-Carlton - St. Louis/Does this hotel have a gym?, 24, 1, True
Hyatt Regency St. Louis at The Arch/Does this hotel cost under $80 a night?, 1, 24, False
Residence Inn St Louis/Does this hotel cost under $80 a night?, 1, 24, False
Parkway/Does this hotel cost under $80 a night?, 0, 25, False
Marriott St. Louis Grand/Does this hotel cost under $80 a night?, 0, 25, False
Drury Plaza at the Arch/Does this hotel cost under $80 a night?, 2, 23, False
Hampton Inn St Louis Downtown/Does this hotel cost under $80 a night?, 1, 24, False
Four Seasons Saint Louis/Does this hotel cost under $80 a night?, 1, 24, False
Hilton St. Louis at the Ballpark/Does this hotel cost under $80 a night?, 1, 24, False
St. Louis City Center Hotel/Does this hotel cost under $80 a night?, 1, 24, False
The Chase Park Plaza/Does this hotel cost under $80 a night?, 0, 25, False
DoubleTree by Hilton St Louis Union Station/Does this hotel cost under $80 a night?, 1, 24, False
Crowne Plaza St. Louis - Downtown/Does this hotel cost under $80 a night?, 1, 24, False
Hilton Saint Louis Airport/Does this hotel cost under $80 a night?, 0, 25, False
The Westin St Louis/Does this hotel cost under $80 a night?, 2, 23, False
Hilton St. Louis Downtown at the Arch/Does this hotel cost under $80 a night?, 2, 23, False
Holiday Inn St. Louis - Downtown Conv Ctr/Does this hotel cost under $80 a night?, 0, 25, False
Comfort Inn St Louis - Westport/Does this hotel cost under $80 a night?, 1, 24, False
Drury Inn & Suites St. Louis Convention Center/Does this hotel cost under $80 a night?, 1, 24, False
Embassy Suites St. Louis - Downtown/Does this hotel cost under $80 a night?, 1, 24, False
Pear Tree Inn St. Louis Near Union Station/Does this hotel cost under $80 a night?, 2, 23, False
Hampton Inn & Suites Saint Louis at Forest Park/Does this hotel cost under $80 a night?, 1, 24, False
Red Roof Inn St Louis - Forest Park Hampton Avenue/Does this hotel cost under $80 a night?, 12, 13, False
Courtyard St Louis Downtown/Does this hotel cost under $80 a night?, 1, 24, False
Drury Inn Saint Louis Union Station/Does this hotel cost under $80 a night?, 3, 22, False
Hampton Inn & Suites St Louis - South I-55/Does this hotel cost under $80 a night?, 2, 23, False
Magnolia St. Louis/Does this hotel cost under $80 a night?, 0, 25, False
Moonrise/Does this hotel cost under $80 a night?, 1, 24, False
Holiday Inn Express St Louis/Does this hotel cost under $80 a night?, 5, 20, False
Courtyard Saint Louis Westport Plaza/Does this hotel cost under $80 a night?, 1, 24, False
Missouri Athletic Club/Does this hotel cost under $80 a night?, 1, 24, False
Best Western Kirkwood Inn/Does this hotel cost under $80 a night?, 4, 21, False
Marriott St Louis Airport/Does this hotel cost under $80 a night?, 0, 25, False
Hawthorn Suites by Wyndham St Louis Westport Plaza/Does this hotel cost under $80 a night?, 1, 24, False
Renaissance St Louis Airport/Does this hotel cost under $80 a night?, 0, 25, False
Best Western St Louis Inn/Does this hotel cost under $80 a night?, 4, 21, False
Marriott St. Louis West/Does this hotel cost under $80 a night?, 0, 25, False
River City/Does this hotel cost under $80 a night?, 1, 24, False
Holiday Inn Express St. Louis Airport - Riverport/Does this hotel cost under $80 a night?, 0, 25, False
Pear Tree Inn St. Louis Airport/Does this hotel cost under $80 a night?, 0, 25, False
Courtyard By Marriott St Louis Downtown Convention Center/Does this hotel cost under $80 a night?, 0, 25, False
The Cheshire/Does this hotel cost under $80 a night?, 2, 23, False
Days Inn Downtown St Louis/Does this hotel cost under $80 a night?, 5, 20, False
Courtyard St Louis Airport - Earth City/Does this hotel cost under $80 a night?, 0, 25, False
Days Inn St Louis Westport MO/Does this hotel cost under $80 a night?, 19, 6, True
Fleur-De-Lys Mansion/Does this hotel cost under $80 a night?, 1, 24, False
Americas Best Value Inn-St. Louis Downtown/Does this hotel cost under $80 a night?, 4, 21, False
Holiday Inn St. Louis - Forest Park/Does this hotel cost under $80 a night?, 1, 24, False
Ignacio/Does this hotel cost under $80 a night?, 0, 25, False
Hampton Inn St Louis-Airport/Does this hotel cost under $80 a night?, 0, 25, False
Sonesta ES Suites St. Louis/Does this hotel cost under $80 a night?, 1, 24, False
Residence Inn St Louis Galleria/Does this hotel cost under $80 a night?, 2, 23, False
Sheraton Westport Chalet Saint Louis/Does this hotel cost under $80 a night?, 0, 25, False
Holiday Inn St Louis-South County Center/Does this hotel cost under $80 a night?, 1, 24, False
Holiday Inn St Louis SW - Route66/Does this hotel cost under $80 a night?, 1, 24, False
Hampton Inn Saint Louis - Sunset Hills/Does this hotel cost under $80 a night?, 0, 25, False
Drury Inn Saint Louis Airport/Does this hotel cost under $80 a night?, 1, 24, False
Drury Inn & Suites Near Forest Park/Does this hotel cost under $80 a night?, 2, 23, False
Days Inn Saint Louis - Lindbergh Boulevard/Does this hotel cost under $80 a night?, 16, 9, True
SpringHill Suites St Louis Airport-Earth City/Does this hotel cost under $80 a night?, 0, 25, False
Holiday Inn Saint Louis-Airport - Oakland PK/Does this hotel cost under $80 a night?, 1, 24, False
Hilton St Louis Frontenac/Does this hotel cost under $80 a night?, 2, 23, False
Sheraton Westport Plaza/Does this hotel cost under $80 a night?, 0, 25, False
Clayton Plaza/Does this hotel cost under $80 a night?, 1, 24, False
Comfort Inn Central West End/Does this hotel cost under $80 a night?, 8, 17, False
Hilton Garden Inn Saint Louis Airport/Does this hotel cost under $80 a night?, 0, 25, False
Sheraton Clayton Plaza Saint Louis/Does this hotel cost under $80 a night?, 2, 23, False
Doubletree St Louis at Westport/Does this hotel cost under $80 a night?, 1, 24, False
Lehmann House/Does this hotel cost under $80 a night?, 2, 23, False
Quality Inn Airport/Does this hotel cost under $80 a night?, 17, 8, True
Extended Stay America - St. Louis - Westport - Central/Does this hotel cost under $80 a night?, 4, 21, False
Home2 Suites By Hilton St. Louis/Forest Park/Does this hotel cost under $80 a night?, 0, 25, False
Napoleon's Retreat/Does this hotel cost under $80 a night?, 0, 25, False
Motel 6 St Louis - Airport/Does this hotel cost under $80 a night?, 24, 1, True
Lodge At Grants Trail/Does this hotel cost under $80 a night?, 3, 22, False
Extended Stay America - St. Louis - Westport - Craig Road/Does this hotel cost under $80 a night?, 17, 8, True
Grand Center Inn/Does this hotel cost under $80 a night?, 1, 24, False
Americas Best Value Inn St. Louis/Does this hotel cost under $80 a night?, 10, 15, False
Candlewood Suites Saint Louis/Does this hotel cost under $80 a night?, 1, 24, False
Lumiere Place Casino and Hotel/Does this hotel cost under $80 a night?, 1, 24, False
Super 8 St Louis Airport/Does this hotel cost under $80 a night?, 24, 1, True
Homewood Suites By Hilton St Louis Galleria/Does this hotel cost under $80 a night?, 3, 22, False
Avyan/Does this hotel cost under $80 a night?, 0, 25, False
Econo Lodge Southwest/Does this hotel cost under $80 a night?, 19, 6, True
Holiday Inn Airport West Earth City/Does this hotel cost under $80 a night?, 2, 23, False
Red Roof Inn St Louis Westport/Does this hotel cost under $80 a night?, 21, 4, True
Americas Best Value Inn Saint Louis South/Does this hotel cost under $80 a night?, 13, 12, True
Americas Best Value Inn St Louis Airport/Does this hotel cost under $80 a night?, 13, 12, True
Homewood Suites by Hilton St. Louis Riverport/Does this hotel cost under $80 a night?, 1, 24, False
Forget-Me-Not Bed And Breakfast/Does this hotel cost under $80 a night?, 1, 24, False
The Ritz-Carlton - St. Louis/Does this hotel cost under $80 a night?, 1, 24, False
Hyatt Regency St. Louis at The Arch/Is this hotel in a safe part of town (e.g. with low crime rates)?, 19, 6, True
Residence Inn St Louis/Is this hotel in a safe part of town (e.g. with low crime rates)?, 18, 7, True
Parkway/Is this hotel in a safe part of town (e.g. with low crime rates)?, 19, 6, True
Marriott St. Louis Grand/Is this hotel in a safe part of town (e.g. with low crime rates)?, 19, 6, True
Drury Plaza at the Arch/Is this hotel in a safe part of town (e.g. with low crime rates)?, 20, 5, True
Hampton Inn St Louis Downtown/Is this hotel in a safe part of town (e.g. with low crime rates)?, 19, 6, True
Four Seasons Saint Louis/Is this hotel in a safe part of town (e.g. with low crime rates)?, 20, 5, True
Hilton St. Louis at the Ballpark/Is this hotel in a safe part of town (e.g. with low crime rates)?, 19, 6, True
St. Louis City Center Hotel/Is this hotel in a safe part of town (e.g. with low crime rates)?, 17, 8, True
The Chase Park Plaza/Is this hotel in a safe part of town (e.g. with low crime rates)?, 21, 4, True
DoubleTree by Hilton St Louis Union Station/Is this hotel in a safe part of town (e.g. with low crime rates)?, 21, 4, True
Crowne Plaza St. Louis - Downtown/Is this hotel in a safe part of town (e.g. with low crime rates)?, 17, 8, True
Hilton Saint Louis Airport/Is this hotel in a safe part of town (e.g. with low crime rates)?, 18, 7, True
The Westin St Louis/Is this hotel in a safe part of town (e.g. with low crime rates)?, 20, 5, True
Hilton St. Louis Downtown at the Arch/Is this hotel in a safe part of town (e.g. with low crime rates)?, 20, 5, True
Holiday Inn St. Louis - Downtown Conv Ctr/Is this hotel in a safe part of town (e.g. with low crime rates)?, 14, 11, True
Comfort Inn St Louis - Westport/Is this hotel in a safe part of town (e.g. with low crime rates)?, 20, 5, True
Drury Inn & Suites St. Louis Convention Center/Is this hotel in a safe part of town (e.g. with low crime rates)?, 17, 8, True
Embassy Suites St. Louis - Downtown/Is this hotel in a safe part of town (e.g. with low crime rates)?, 20, 5, True
Pear Tree Inn St. Louis Near Union Station/Is this hotel in a safe part of town (e.g. with low crime rates)?, 18, 7, True
Hampton Inn & Suites Saint Louis at Forest Park/Is this hotel in a safe part of town (e.g. with low crime rates)?, 22, 3, True
Red Roof Inn St Louis - Forest Park Hampton Avenue/Is this hotel in a safe part of town (e.g. with low crime rates)?, 16, 9, True
Courtyard St Louis Downtown/Is this hotel in a safe part of town (e.g. with low crime rates)?, 21, 4, True
Drury Inn Saint Louis Union Station/Is this hotel in a safe part of town (e.g. with low crime rates)?, 18, 7, True
Hampton Inn & Suites St Louis - South I-55/Is this hotel in a safe part of town (e.g. with low crime rates)?, 21, 4, True
Magnolia St. Louis/Is this hotel in a safe part of town (e.g. with low crime rates)?, 19, 6, True
Moonrise/Is this hotel in a safe part of town (e.g. with low crime rates)?, 21, 4, True
Holiday Inn Express St Louis/Is this hotel in a safe part of town (e.g. with low crime rates)?, 18, 7, True
Courtyard Saint Louis Westport Plaza/Is this hotel in a safe part of town (e.g. with low crime rates)?, 24, 1, True
Missouri Athletic Club/Is this hotel in a safe part of town (e.g. with low crime rates)?, 22, 3, True
Best Western Kirkwood Inn/Is this hotel in a safe part of town (e.g. with low crime rates)?, 23, 2, True
Marriott St Louis Airport/Is this hotel in a safe part of town (e.g. with low crime rates)?, 21, 4, True
Hawthorn Suites by Wyndham St Louis Westport Plaza/Is this hotel in a safe part of town (e.g. with low crime rates)?, 22, 3, True
Renaissance St Louis Airport/Is this hotel in a safe part of town (e.g. with low crime rates)?, 20, 5, True
Best Western St Louis Inn/Is this hotel in a safe part of town (e.g. with low crime rates)?, 20, 5, True
Marriott St. Louis West/Is this hotel in a safe part of town (e.g. with low crime rates)?, 22, 3, True
River City/Is this hotel in a safe part of town (e.g. with low crime rates)?, 18, 7, True
Holiday Inn Express St. Louis Airport - Riverport/Is this hotel in a safe part of town (e.g. with low crime rates)?, 20, 5, True
Pear Tree Inn St. Louis Airport/Is this hotel in a safe part of town (e.g. with low crime rates)?, 20, 5, True
Courtyard By Marriott St Louis Downtown Convention Center/Is this hotel in a safe part of town (e.g. with low crime rates)?, 17, 8, True
The Cheshire/Is this hotel in a safe part of town (e.g. with low crime rates)?, 23, 2, True
Days Inn Downtown St Louis/Is this hotel in a safe part of town (e.g. with low crime rates)?, 9, 16, False
Courtyard St Louis Airport - Earth City/Is this hotel in a safe part of town (e.g. with low crime rates)?, 22, 3, True
Days Inn St Louis Westport MO/Is this hotel in a safe part of town (e.g. with low crime rates)?, 23, 2, True
Fleur-De-Lys Mansion/Is this hotel in a safe part of town (e.g. with low crime rates)?, 20, 5, True
Americas Best Value Inn-St. Louis Downtown/Is this hotel in a safe part of town (e.g. with low crime rates)?, 15, 10, True
Holiday Inn St. Louis - Forest Park/Is this hotel in a safe part of town (e.g. with low crime rates)?, 19, 6, True
Ignacio/Is this hotel in a safe part of town (e.g. with low crime rates)?, 18, 7, True
Hampton Inn St Louis-Airport/Is this hotel in a safe part of town (e.g. with low crime rates)?, 18, 7, True
Sonesta ES Suites St. Louis/Is this hotel in a safe part of town (e.g. with low crime rates)?, 25, 0, True
Residence Inn St Louis Galleria/Is this hotel in a safe part of town (e.g. with low crime rates)?, 21, 4, True
Sheraton Westport Chalet Saint Louis/Is this hotel in a safe part of town (e.g. with low crime rates)?, 25, 0, True
Holiday Inn St Louis-South County Center/Is this hotel in a safe part of town (e.g. with low crime rates)?, 19, 6, True
Holiday Inn St Louis SW - Route66/Is this hotel in a safe part of town (e.g. with low crime rates)?, 21, 4, True
Hampton Inn Saint Louis - Sunset Hills/Is this hotel in a safe part of town (e.g. with low crime rates)?, 21, 4, True
Drury Inn Saint Louis Airport/Is this hotel in a safe part of town (e.g. with low crime rates)?, 21, 4, True
Drury Inn & Suites Near Forest Park/Is this hotel in a safe part of town (e.g. with low crime rates)?, 21, 4, True
Days Inn Saint Louis - Lindbergh Boulevard/Is this hotel in a safe part of town (e.g. with low crime rates)?, 17, 8, True
SpringHill Suites St Louis Airport-Earth City/Is this hotel in a safe part of town (e.g. with low crime rates)?, 22, 3, True
Holiday Inn Saint Louis-Airport - Oakland PK/Is this hotel in a safe part of town (e.g. with low crime rates)?, 16, 9, True
Hilton St Louis Frontenac/Is this hotel in a safe part of town (e.g. with low crime rates)?, 21, 4, True
Sheraton Westport Plaza/Is this hotel in a safe part of town (e.g. with low crime rates)?, 20, 5, True
Clayton Plaza/Is this hotel in a safe part of town (e.g. with low crime rates)?, 20, 5, True
Comfort Inn Central West End/Is this hotel in a safe part of town (e.g. with low crime rates)?, 16, 9, True
Hilton Garden Inn Saint Louis Airport/Is this hotel in a safe part of town (e.g. with low crime rates)?, 21, 4, True
Sheraton Clayton Plaza Saint Louis/Is this hotel in a safe part of town (e.g. with low crime rates)?, 22, 3, True
Doubletree St Louis at Westport/Is this hotel in a safe part of town (e.g. with low crime rates)?, 20, 5, True
Lehmann House/Is this hotel in a safe part of town (e.g. with low crime rates)?, 23, 2, True
Quality Inn Airport/Is this hotel in a safe part of town (e.g. with low crime rates)?, 14, 11, True
Extended Stay America - St. Louis - Westport - Central/Is this hotel in a safe part of town (e.g. with low crime rates)?, 20, 5, True
Home2 Suites By Hilton St. Louis/Forest Park/Is this hotel in a safe part of town (e.g. with low crime rates)?, 17, 8, True
Napoleon's Retreat/Is this hotel in a safe part of town (e.g. with low crime rates)?, 21, 4, True
Motel 6 St Louis - Airport/Is this hotel in a safe part of town (e.g. with low crime rates)?, 5, 20, False
Lodge At Grants Trail/Is this hotel in a safe part of town (e.g. with low crime rates)?, 22, 3, True
Extended Stay America - St. Louis - Westport - Craig Road/Is this hotel in a safe part of town (e.g. with low crime rates)?, 14, 11, True
Grand Center Inn/Is this hotel in a safe part of town (e.g. with low crime rates)?, 22, 3, True
Americas Best Value Inn St. Louis/Is this hotel in a safe part of town (e.g. with low crime rates)?, 12, 13, False
Candlewood Suites Saint Louis/Is this hotel in a safe part of town (e.g. with low crime rates)?, 19, 6, True
Lumiere Place Casino and Hotel/Is this hotel in a safe part of town (e.g. with low crime rates)?, 18, 7, True
Super 8 St Louis Airport/Is this hotel in a safe part of town (e.g. with low crime rates)?, 15, 10, True
Homewood Suites By Hilton St Louis Galleria/Is this hotel in a safe part of town (e.g. with low crime rates)?, 21, 4, True
Avyan/Is this hotel in a safe part of town (e.g. with low crime rates)?, 15, 10, True
Econo Lodge Southwest/Is this hotel in a safe part of town (e.g. with low crime rates)?, 14, 11, True
Holiday Inn Airport West Earth City/Is this hotel in a safe part of town (e.g. with low crime rates)?, 21, 4, True
Red Roof Inn St Louis Westport/Is this hotel in a safe part of town (e.g. with low crime rates)?, 16, 9, True
Americas Best Value Inn Saint Louis South/Is this hotel in a safe part of town (e.g. with low crime rates)?, 14, 11, True
Americas Best Value Inn St Louis Airport/Is this hotel in a safe part of town (e.g. with low crime rates)?, 18, 7, True
Homewood Suites by Hilton St. Louis Riverport/Is this hotel in a safe part of town (e.g. with low crime rates)?, 20, 5, True
Forget-Me-Not Bed And Breakfast/Is this hotel in a safe part of town (e.g. with low crime rates)?, 20, 5, True
The Ritz-Carlton - St. Louis/Is this hotel in a safe part of town (e.g. with low crime rates)?, 23, 2, True
Hyatt Regency St. Louis at The Arch/Are there great views from the rooms of this hotel?, 24, 1, True
Residence Inn St Louis/Are there great views from the rooms of this hotel?, 9, 16, False
Parkway/Are there great views from the rooms of this hotel?, 11, 14, False
Marriott St. Louis Grand/Are there great views from the rooms of this hotel?, 23, 2, True
Drury Plaza at the Arch/Are there great views from the rooms of this hotel?, 21, 4, True
Hampton Inn St Louis Downtown/Are there great views from the rooms of this hotel?, 18, 7, True
Four Seasons Saint Louis/Are there great views from the rooms of this hotel?, 23, 2, True
Hilton St. Louis at the Ballpark/Are there great views from the rooms of this hotel?, 24, 1, True
St. Louis City Center Hotel/Are there great views from the rooms of this hotel?, 20, 5, True
The Chase Park Plaza/Are there great views from the rooms of this hotel?, 20, 5, True
DoubleTree by Hilton St Louis Union Station/Are there great views from the rooms of this hotel?, 17, 8, True
Crowne Plaza St. Louis - Downtown/Are there great views from the rooms of this hotel?, 21, 4, True
Hilton Saint Louis Airport/Are there great views from the rooms of this hotel?, 9, 16, False
The Westin St Louis/Are there great views from the rooms of this hotel?, 17, 8, True
Hilton St. Louis Downtown at the Arch/Are there great views from the rooms of this hotel?, 23, 2, True
Holiday Inn St. Louis - Downtown Conv Ctr/Are there great views from the rooms of this hotel?, 13, 12, True
Comfort Inn St Louis - Westport/Are there great views from the rooms of this hotel?, 6, 19, False
Drury Inn & Suites St. Louis Convention Center/Are there great views from the rooms of this hotel?, 14, 11, True
Embassy Suites St. Louis - Downtown/Are there great views from the rooms of this hotel?, 20, 5, True
Pear Tree Inn St. Louis Near Union Station/Are there great views from the rooms of this hotel?, 12, 13, False
Hampton Inn & Suites Saint Louis at Forest Park/Are there great views from the rooms of this hotel?, 10, 15, False
Red Roof Inn St Louis - Forest Park Hampton Avenue/Are there great views from the rooms of this hotel?, 5, 20, False
Courtyard St Louis Downtown/Are there great views from the rooms of this hotel?, 20, 5, True
Drury Inn Saint Louis Union Station/Are there great views from the rooms of this hotel?, 13, 12, True
Hampton Inn & Suites St Louis - South I-55/Are there great views from the rooms of this hotel?, 10, 15, False
Magnolia St. Louis/Are there great views from the rooms of this hotel?, 21, 4, True
Moonrise/Are there great views from the rooms of this hotel?, 18, 7, True
Holiday Inn Express St Louis/Are there great views from the rooms of this hotel?, 7, 18, False
Courtyard Saint Louis Westport Plaza/Are there great views from the rooms of this hotel?, 11, 14, False
Missouri Athletic Club/Are there great views from the rooms of this hotel?, 18, 7, True
Best Western Kirkwood Inn/Are there great views from the rooms of this hotel?, 9, 16, False
Marriott St Louis Airport/Are there great views from the rooms of this hotel?, 9, 16, False
Hawthorn Suites by Wyndham St Louis Westport Plaza/Are there great views from the rooms of this hotel?, 9, 16, False
Renaissance St Louis Airport/Are there great views from the rooms of this hotel?, 14, 11, True
Best Western St Louis Inn/Are there great views from the rooms of this hotel?, 9, 16, False
Marriott St. Louis West/Are there great views from the rooms of this hotel?, 17, 8, True
River City/Are there great views from the rooms of this hotel?, 20, 5, True
Holiday Inn Express St. Louis Airport - Riverport/Are there great views from the rooms of this hotel?, 10, 15, False
Pear Tree Inn St. Louis Airport/Are there great views from the rooms of this hotel?, 11, 14, False
Courtyard By Marriott St Louis Downtown Convention Center/Are there great views from the rooms of this hotel?, 18, 7, True
The Cheshire/Are there great views from the rooms of this hotel?, 9, 16, False
Days Inn Downtown St Louis/Are there great views from the rooms of this hotel?, 14, 11, True
Courtyard St Louis Airport - Earth City/Are there great views from the rooms of this hotel?, 7, 18, False
Days Inn St Louis Westport MO/Are there great views from the rooms of this hotel?, 7, 18, False
Fleur-De-Lys Mansion/Are there great views from the rooms of this hotel?, 17, 8, True
Americas Best Value Inn-St. Louis Downtown/Are there great views from the rooms of this hotel?, 8, 17, False
Holiday Inn St. Louis - Forest Park/Are there great views from the rooms of this hotel?, 13, 12, True
Ignacio/Are there great views from the rooms of this hotel?, 11, 14, False
Hampton Inn St Louis-Airport/Are there great views from the rooms of this hotel?, 9, 16, False
Sonesta ES Suites St. Louis/Are there great views from the rooms of this hotel?, 11, 14, False
Residence Inn St Louis Galleria/Are there great views from the rooms of this hotel?, 10, 15, False
Sheraton Westport Chalet Saint Louis/Are there great views from the rooms of this hotel?, 10, 15, False
Holiday Inn St Louis-South County Center/Are there great views from the rooms of this hotel?, 10, 15, False
Holiday Inn St Louis SW - Route66/Are there great views from the rooms of this hotel?, 8, 17, False
Hampton Inn Saint Louis - Sunset Hills/Are there great views from the rooms of this hotel?, 9, 16, False
Drury Inn Saint Louis Airport/Are there great views from the rooms of this hotel?, 8, 17, False
Drury Inn & Suites Near Forest Park/Are there great views from the rooms of this hotel?, 9, 16, False
Days Inn Saint Louis - Lindbergh Boulevard/Are there great views from the rooms of this hotel?, 8, 17, False
SpringHill Suites St Louis Airport-Earth City/Are there great views from the rooms of this hotel?, 8, 17, False
Holiday Inn Saint Louis-Airport - Oakland PK/Are there great views from the rooms of this hotel?, 10, 15, False
Hilton St Louis Frontenac/Are there great views from the rooms of this hotel?, 13, 12, True
