AssignmentId,WorkerId,WorkTimeInSeconds,Input.Restaurant,Input.Question,Answer.Q1AnswerPart1
3LEIZ60CDJZOD06VFWLQUQ1QP4VZ9G,A2Q0G312LESWK7,33,Comal,Does this restaurant have a drive-through?,-100
3LKC68YZ3A3NQS5W6YK1SC2X31DOWT,A8SP23ECDU4F0,22,Comal,Does this restaurant have a drive-through?,-100
3LWJHTCVCCMO0IWHVM25DTBXNZ8FQX,A1MRK1A6YIBUNN,32,Comal,Does this restaurant have a drive-through?,-100
3NL0RFNU0FNSRZ1XY0MPQ32XZ354K4,AAAG7IZP1V712,60,Comal,Does this restaurant have a drive-through?,-80
3NVC2EB65QZ2T87A21IXP6P2JIK3YF,A2XEAXWY9B2PZ,20,Comal,Does this restaurant have a drive-through?,-100
3OWEPKL089CQIS4JXBCCL73BK0UN76,A1F991VPHVNIVC,25,Comal,Does this restaurant have a drive-through?,-100
3PJ71Z61R42RI4LN7LCY2WHECPL19W,A3Q3B9T8H3I3AD,4,Comal,Does this restaurant have a drive-through?,-80
3QILPRALQ5VUI6927G4IZ7Z6VK2N8V,AEWGY34WUIA32,25,Comal,Does this restaurant have a drive-through?,-100
3R9WASFE2ZGXEAX8IILI4MN1S2SFZQ,A88LHLWDGRJV5,19,Comal,Does this restaurant have a drive-through?,-100
3SNLUL3WO4N2S3DUY6P8I7D6NGYLUB,AOPOLVUSCIRDN,79,Comal,Does this restaurant have a drive-through?,-100
3TK8OJTYM1LSW3HSVOSKVAO96X8VP8,A2Z9HR2IBD75R9,37,Comal,Does this restaurant have a drive-through?,80
3TUI152ZZBNXA329ONNKOR73MPLQ13,A1A68JLEYPWMUY,25,Comal,Does this restaurant have a drive-through?,-80
3UNH76FOCS53FUFK8JNCL5Y8J90YMP,AY1NK9XSCHOLP,36,Comal,Does this restaurant have a drive-through?,0
3WLEIWSYHOHRMVL2O104KWP7N87H2J,AXPRCC7MG94OA,89,Comal,Does this restaurant have a drive-through?,-100
3WZ36BJEV3GBFHCT7OA4Z8VZS8EBTO,ASVEZ50XV0ZZR,42,Comal,Does this restaurant have a drive-through?,-100
3Z7ISHFUH0VOZVNLA4FCUU6F5YEZ8S,A3F2GS1KMWW6CP,24,Comal,Does this restaurant have a drive-through?,-80
33JKGHPFYCU93VB61HE14P01FPWMNN,A4JQPQM2T881E,7,Great China,Does this restaurant serve breakfast?,100
340UGXU9DY15O8POCARE5GB8EEXVU1,A3F7TD3W9043EO,44,Great China,Does this restaurant serve breakfast?,-100
34T446B1C0ET9D78NMIPQHZCDIDC0G,A1L3XF3X28IC0R,16,Great China,Does this restaurant serve breakfast?,-100
34T446B1C0ET9D78NMIPQHZCDIFC0I,A2Z9HR2IBD75R9,420,Great China,Does this restaurant serve breakfast?,80
35USIKEBNRG7ESQEE17KFT3FPPJN6G,A26AK8IVDJQ94M,8,Great China,Does this restaurant serve breakfast?,-100
39GHHAVOMFRXGFVFGFMDPO2KKE3J4I,A35LEE74GHDV9U,17,Great China,Does this restaurant serve breakfast?,-80
39PAAFCODM0QOVAZC5140KP6V0TTVB,AW7KP42K7HSF5,34,Great China,Does this restaurant serve breakfast?,-100
3ATTHHXXWAOSJ6ZJI83IAYKI0UOIXP,A2TFI1YWN3UY0,55,Great China,Does this restaurant serve breakfast?,-100
3C2NJ6JBKAHJWR7DRZVHPGM39KC2N9,A390JWMIK0NRCP,23,Great China,Does this restaurant serve breakfast?,-100
3EQHHY4HQSS5LW9EMEKKX3GISIFG5E,AM305FJ5GW6SG,60,Great China,Does this restaurant serve breakfast?,-100
3ERET4BTVM9TO579FVIG7BDDLVK9K6,A1XLB2UVG3RFG,13,Great China,Does this restaurant serve breakfast?,-80
3FQ5JJ512LOED7B3G51LPC8XQK2NKK,ARB9I8FFYFQUA,90,Great China,Does this restaurant serve breakfast?,-100
3FTYUGLFSUL29CZNKOJCRIDLFQ75D1,A34JILAPTYRH81,14,Great China,Does this restaurant serve breakfast?,-100
3G2UL9A02DEIB7YRYUQVJWHPPAD76O,AQXSUU4I4DAH8,49,Great China,Does this restaurant serve breakfast?,60
3GDTJDAPVUBO0OO2VFPIMSA6QU0M82,AB5KURK6V868K,27,Great China,Does this restaurant serve breakfast?,-80
3GS6S824SQX5875K5JKODN2SDRAWNO,AW7RJ863Q6RTT,25,Great China,Does this restaurant serve breakfast?,-100
3IXEICO792J595VYBXTWOS97E756T0,A3Q3B9T8H3I3AD,20,Great China,Does this restaurant serve breakfast?,60
3KJYX6QCM9BWASEU0BN0YE2XXY2VJ8,A1ADGLKC2F1CHS,42,Great China,Does this restaurant serve breakfast?,-100
3KWTYT08703L7ONFX5H0AVLQOZ65LE,ASVEZ50XV0ZZR,26,Great China,Does this restaurant serve breakfast?,-80
3L4PIM1GQTGUCASCDRJT74SIPWVRY2,A25GWTC059MIL4,55,Great China,Does this restaurant serve breakfast?,100
3LBXNTKX0RVZ856GEEX5X5LFH439XZ,AJMKH3WN5HAN7,18,Great China,Does this restaurant serve breakfast?,-100
3P4RDNWND56ROMUU14OHJPC3PWAJI3,A2GU2QUQZNSG9U,23,Great China,Does this restaurant serve breakfast?,-80
3PWWM24LHSYYTKK9LX6Y7JW8KPK82Y,A2BC4OBPZASWDY,32,Great China,Does this restaurant serve breakfast?,-100
3Q5C1WP23M18HHJB4VZHQGCCQTY515,A1COAGLXPA14JG,30,Great China,Does this restaurant serve breakfast?,-100
3QEMNNSB2XZHWGD68HY9P2RH6WZ7DF,A104H3ISRW8A1C,15,Great China,Does this restaurant serve breakfast?,-80
3SEPORI8WNZ2IJG072ZQQLCAVMFAZ8,A2XEAXWY9B2PZ,24,Great China,Does this restaurant serve breakfast?,-100
3WAKVUDHUWG3DIOSUCOYZ2V5SWY7UT,A2Q0G312LESWK7,13,Great China,Does this restaurant serve breakfast?,-80
3WQQ9FUS6AUSHXK54QZ98CZCEVMB8S,A1QUDNLO95AKS5,37,Great China,Does this restaurant serve breakfast?,80
3WT783CTPBHUT0AIL2FEAYVV4MDBC4,A8SP23ECDU4F0,17,Great China,Does this restaurant serve breakfast?,-100
3ZAK8W07I4EPV7O89D3PKNLIKIR0UL,AYZG49LT57P3N,44,Great China,Does this restaurant serve breakfast?,-80
3137ONMDKG55HF27XFDN1XMV5BGGEH,A34JILAPTYRH81,28,Gather,Does this restaurant serve Chinese food?,-100
31Z0PCVWUKFOD593U7YOU6939IQT7N,ASVEZ50XV0ZZR,22,Gather,Does this restaurant serve Chinese food?,-100
323Q6SJS8IGBNPXECWFB4FJWWCAFHZ,A195YJT3JA90O9,55,Gather,Does this restaurant serve Chinese food?,-60
326O153BMIY25VSGVPCFVCJYSJ5DE9,A1XLB2UVG3RFG,22,Gather,Does this restaurant serve Chinese food?,-100
33LKR6A5KEKA2JU15RHFTWIQ6WQ1TY,A2BC4OBPZASWDY,22,Gather,Does this restaurant serve Chinese food?,-100
34S6N1K2ZVJXNH7AY7I9ZSOGT8TLH7,A1ELBAVMWP8JSO,78,Gather,Does this restaurant serve Chinese food?,-80
358010RM5ETX5CJJHF21PNAC8WDVXS,A1L3XF3X28IC0R,18,Gather,Does this restaurant serve Chinese food?,-100
37U1UTWH9VMFX41U0NLZ8R4GWHQR8M,A1K4525NO0FEV3,49,Gather,Does this restaurant serve Chinese food?,-80
37ZHEEHM6WMJEOB9FSSXCT55FJD37G,AB5KURK6V868K,31,Gather,Does this restaurant serve Chinese food?,-60
3A7Y0R2P2OOOEHJP0QOIMZZID9CJX1,A38CW69MB24RRS,82,Gather,Does this restaurant serve Chinese food?,0
3B2X28YI3WF5DJ1HBB2BOY3L8016B6,AEWGY34WUIA32,33,Gather,Does this restaurant serve Chinese food?,-80
3CPLWGV3MOZUWBSCC8AWZ3UHFQT9NF,A149MN8UN8O976,478,Gather,Does this restaurant serve Chinese food?,-60
3EFVCAY5L39YZGIHSICQ60IPM048JJ,A11EA6M31BRK78,79,Gather,Does this restaurant serve Chinese food?,-100
3FIJLY1B6U4306V2V9NGDOLNI3JFP3,A30G5L7YI0SQTW,45,Gather,Does this restaurant serve Chinese food?,80
3GFK2QRXX9H1IIZE1JO2J626M6D5WA,A5GQH60QES7TB,86,Gather,Does this restaurant serve Chinese food?,-100
3HRMW88U16Q6IZJZ0BC3TD4O7WJ0MO,A104H3ISRW8A1C,17,Gather,Does this restaurant serve Chinese food?,-80
3IJXV6UZ1XJ8MAD799XQLGYUZD1IRR,A25GWTC059MIL4,48,Gather,Does this restaurant serve Chinese food?,-80
3KWTYT08703L7ONFX5H0AVLQOZ15L9,A3F7TD3W9043EO,26,Gather,Does this restaurant serve Chinese food?,-100
3LBXNTKX0RVZ856GEEX5X5LFH4Z9XV,A8SP23ECDU4F0,17,Gather,Does this restaurant serve Chinese food?,-100
3LRKMWOKB5HDDGLWUN6BK3TCJYPZ2S,AXPRCC7MG94OA,73,Gather,Does this restaurant serve Chinese food?,-100
3MD9PLUKKIE922APG64VCRWAUTENZ5,A3AE627X3R2JQI,34,Gather,Does this restaurant serve Chinese food?,-100
3NC5L260MOMLF6J1G9A1OOGX8YSOF0,A3NL9OUM0FO06A,101,Gather,Does this restaurant serve Chinese food?,-80
3NOKK93PR187X16GRKNZ1U1JSVXEEU,A5C761Y9MWNCA,32,Gather,Does this restaurant serve Chinese food?,100
3R3YRB5GRF3LWKMQ1F0I9TXVT41UA4,A2GU2QUQZNSG9U,13,Gather,Does this restaurant serve Chinese food?,-100
3S4AW7T80BI3B5JFJ0YQ53FCO354L2,A3BP890CXV4UMN,96,Gather,Does this restaurant serve Chinese food?,-100
3TDXMTX3CBUF0RFNHLUSAL7Y3QOI6U,A26AK8IVDJQ94M,8,Gather,Does this restaurant serve Chinese food?,-80
3UN61F00HWPWAMIS2PEWW7UPURUR5P,A8DKQ2W8HSXYX,41,Gather,Does this restaurant serve Chinese food?,-80
3WMINLGALB3PAQ5QFOFIFNBPM4RCA9,A6XXSQLTOFBOM,33,Gather,Does this restaurant serve Chinese food?,-100
3Z7ISHFUH0VOZVNLA4FCUU6F5YJ8Z6,A2HPEX0788BPXI,267,Gather,Does this restaurant serve Chinese food?,-100
3ZWFC4W1UU7OCJBH81R5IJL2JL8RF8,A3Q3B9T8H3I3AD,4,Gather,Does this restaurant serve Chinese food?,-100
30ZX6P7VF8VND1GSC13PW95M008J2N,ASK5QHA1E6XNM,19,Cheese Board Pizza,Does this restaurant have its own website?,100
3180JW2OT4CFCYZFUK5NUG8YKA0J5P,A3M6098H4L6HQG,40,Cheese Board Pizza,Does this restaurant have its own website?,100
3180JW2OT4CFCYZFUK5NUG8YKAYJ5N,AAAG7IZP1V712,42,Cheese Board Pizza,Does this restaurant have its own website?,100
31HQ4X3T3SAMDQLQ91U836VI2JCLSU,A3G84Q92VRSJAR,30,Cheese Board Pizza,Does this restaurant have its own website?,100
31Z0PCVWUKFOD593U7YOU6939II7TT,A1G3KH4F058XY0,86,Cheese Board Pizza,Does this restaurant have its own website?,100
33FOTY3KEMLTG2SQJ5MP4MIMIAL1CA,A2Z9HR2IBD75R9,222,Cheese Board Pizza,Does this restaurant have its own website?,0
33M4IA01QG15C5228VXROQL9NQ6RX1,A2LKB11B1PALLY,33,Cheese Board Pizza,Does this restaurant have its own website?,100
35H6S234SA03O3K8A1BYLC3TY4H657,A2Q0G312LESWK7,22,Cheese Board Pizza,Does this restaurant have its own website?,100
36TFCYNS44ASNBOZCQLXAMJ30H5HXR,A3F7TD3W9043EO,19,Cheese Board Pizza,Does this restaurant have its own website?,100
39LOEL67OS5NE2GSPXK3QT10Q3F38Z,A3V70AZ39FPZ5V,22,Cheese Board Pizza,Does this restaurant have its own website?,100
3ATTHHXXWAOSJ6ZJI83IAYKI0UKXI0,A1L3XF3X28IC0R,23,Cheese Board Pizza,Does this restaurant have its own website?,80
3DPNQGW4LLFLSKG8WWSOGKXFY8L46Z,A2P02YLEIVK3SJ,11,Cheese Board Pizza,Does this restaurant have its own website?,0
3EG49X351UCCQM4IG7UTDVUDR3M6XC,A35LEE74GHDV9U,10,Cheese Board Pizza,Does this restaurant have its own website?,100
3FUI0JHJPXY1D5AMDGP7ZCTPAHL335,A33XH3FNYAJ4LE,29,Cheese Board Pizza,Does this restaurant have its own website?,100
3GGAI1SQEVYQCREFCR5NOE6PGLEMC1,AIJVOVZVE7Z5U,43,Cheese Board Pizza,Does this restaurant have its own website?,100
3HL8HNGX451I8JFVEKRJRYL8DZVF92,A3JO9IL2MESBLR,142,Cheese Board Pizza,Does this restaurant have its own website?,100
3J88R45B2GYK0SMNV3T2JVLUM8DXPA,A1T6KGWNEUR9XD,48,Cheese Board Pizza,Does this restaurant have its own website?,100
3L70J4KAZGMZFIB4FKATZTT774ZAD3,A1COAGLXPA14JG,50,Cheese Board Pizza,Does this restaurant have its own website?,100
3N4BPTXIO8SR8XVCD6D7370RYGTUKH,A1AIHLAEJ8FU4J,167,Cheese Board Pizza,Does this restaurant have its own website?,-100
3OJSZ2ATDSWMS3YDTBGQRQ3PTF0574,A343KX1KNL437T,30,Cheese Board Pizza,Does this restaurant have its own website?,100
3SNVL38CI4SVM3ECRFS791ELRGKKCV,A1A68JLEYPWMUY,10,Cheese Board Pizza,Does this restaurant have its own website?,100
3UJ1CZ6IZHP8B1I5HEE1MHZLGTE5SS,ATOZBCVVNQ5FT,110,Cheese Board Pizza,Does this restaurant have its own website?,100
3UNH76FOCS53FUFK8JNCL5Y8J9VMY8,A34JILAPTYRH81,166,Cheese Board Pizza,Does this restaurant have its own website?,100
3VE8AYVF8MXIUEWL9SL5R2QXTTHF8H,A2DE6UIJ87NCAU,40,Cheese Board Pizza,Does this restaurant have its own website?,100
3VP0C6EFSGW1WA5E20SK2EEFKZ56MV,A104H3ISRW8A1C,24,Cheese Board Pizza,Does this restaurant have its own website?,100
3XCC1ODXDLBL381QMH2ZUIPGQNHQR1,A88LHLWDGRJV5,42,Cheese Board Pizza,Does this restaurant have its own website?,100
3XLBSAQ9Z4CKZHI20ZN6GUAKUEAZ77,AKA8DP72VWZKR,46,Cheese Board Pizza,Does this restaurant have its own website?,100
3XM0HYN6NKZBUSV60Y3AV60N621EPH,A1O2D67U4IBFS7,489,Cheese Board Pizza,Does this restaurant have its own website?,100
3YDGXNSEOZU8WYZWPBPM0YT643A84O,AQXSUU4I4DAH8,21,Cheese Board Pizza,Does this restaurant have its own website?,100
3Z4XG4ZF48RZU0N69MRRX9Q4XYEX8R,A3Q3B9T8H3I3AD,17,Cheese Board Pizza,Does this restaurant have its own website?,100
32UTUBMZ7GWQS9GICJAJ0QJKPTMVBG,A3JO9IL2MESBLR,39,FIVE,Does this restaurant have drinks for those under 21?,100
352YTHGROVD1P90PSFJSDBM57M5H4H,A2Q0G312LESWK7,18,FIVE,Does this restaurant have drinks for those under 21?,80
35BLDD71I6XMA7JYIXQMM8QNGWCVZQ,A8SP23ECDU4F0,47,FIVE,Does this restaurant have drinks for those under 21?,80
38BQUHLA9W0RLGBI2WEEJE065Z2MO3,A1MRK1A6YIBUNN,45,FIVE,Does this restaurant have drinks for those under 21?,100
3AQF3RZ558IVQ0DXGDO77OU6NYUF6Y,AEWGY34WUIA32,19,FIVE,Does this restaurant have drinks for those under 21?,100
3BV8HQ2ZZW10U9WP5X2FTNJFQIJ6AE,A35UHZIVSLVSEN,40,FIVE,Does this restaurant have drinks for those under 21?,100
3EICBYG644W0BJ8U9USV8ME8CRNJCY,A3AE627X3R2JQI,46,FIVE,Does this restaurant have drinks for those under 21?,100
3F6HPJW4JD09JLGRJ0M4LZZU2WEW2S,A1K4525NO0FEV3,30,FIVE,Does this restaurant have drinks for those under 21?,100
3IAS3U3I0FGHVIIGO9Q8YLM9SVZB2U,A1L3XF3X28IC0R,19,FIVE,Does this restaurant have drinks for those under 21?,-60
3IGI0VL647KX3YWIEXTEWTP6AP4ONX,A2BZJAUH0XPO54,11,FIVE,Does this restaurant have drinks for those under 21?,0
3IX2EGZR7BJ4HLXDRRIQXHDUCSPJR3,A3LI0O659I8GFX,33,FIVE,Does this restaurant have drinks for those under 21?,80
3J4Q2Z4UTY3QB4ICLBC5HHXXI2UWQ8,A3F2GS1KMWW6CP,51,FIVE,Does this restaurant have drinks for those under 21?,-80
3KGTPGBS6XLWRHRMO0733BEXHG4U2S,A2DE6UIJ87NCAU,21,FIVE,Does this restaurant have drinks for those under 21?,100
3M1CVSFP605T4RF9K6GDZS06QJRAQB,AUW6U0UX2VC7Q,80,FIVE,Does this restaurant have drinks for those under 21?,-60
3NC5L260MOMLF6J1G9A1OOGX8YRFOQ,A26AK8IVDJQ94M,9,FIVE,Does this restaurant have drinks for those under 21?,0
3OF2M9AATGO8UWPMJTCFKZF60Y4ZK7,AUFEOA1SGIGVU,81,FIVE,Does this restaurant have drinks for those under 21?,0
3OHYZ19UGC5QJF2T5TO9AN56BI3OAB,A1KGCOR8OXYR72,86,FIVE,Does this restaurant have drinks for those under 21?,80
3OLF68YTN91WD2P06Q5JNTWSJHLFAP,A6XXSQLTOFBOM,38,FIVE,Does this restaurant have drinks for those under 21?,100
3PZDLQMM0TL05NAM29M395SRAGVC2Y,A1FSPD1LIOXCN1,78,FIVE,Does this restaurant have drinks for those under 21?,100
3RKNTXVS3MYMFMSBM990WPZ1UR3A4N,A38DC3BG1ZCVZ2,263,FIVE,Does this restaurant have drinks for those under 21?,60
3RUIQRXJBBOZ9DQ0PSX7RKHNAPZLLB,A35LEE74GHDV9U,46,FIVE,Does this restaurant have drinks for those under 21?,-80
3SKEMFQBZ35TA0OZA3C27FI21P08KE,A1O9KRE3MRHPHP,176,FIVE,Does this restaurant have drinks for those under 21?,100
3TK8OJTYM1LSW3HSVOSKVAO96X6VP6,AAAG7IZP1V712,51,FIVE,Does this restaurant have drinks for those under 21?,-80
3TS1AR6UQQEEU0R2ZNTZD2U2I9BF7U,A380GOWGO4TCAW,35,FIVE,Does this restaurant have drinks for those under 21?,60
3TXMY6UCAEOHX6C74KC45NQUQMHQCY,A3M6098H4L6HQG,55,FIVE,Does this restaurant have drinks for those under 21?,100
3UNH76FOCS53FUFK8JNCL5Y8J90MYD,ARB9I8FFYFQUA,36,FIVE,Does this restaurant have drinks for those under 21?,100
3W92K5RLWUHO3TZ9B9J6X4JSFX15VQ,A3P3RFU5NJXR5V,37,FIVE,Does this restaurant have drinks for those under 21?,0
3WSELTNVR326W7711AA84XBTAQVATU,A17LSINELZPCMD,25,FIVE,Does this restaurant have drinks for those under 21?,-80
3X65QVEQI0N669WUCF48O1R0GGNLCX,A2GU2QUQZNSG9U,108,FIVE,Does this restaurant have drinks for those under 21?,-80
3XLBSAQ9Z4CKZHI20ZN6GUAKUEA7ZF,A1SGGLWPW4CJBD,61,FIVE,Does this restaurant have drinks for those under 21?,80
31HQ4X3T3SAMDQLQ91U836VI2JDSL2,ALV5QUCR2JUB7,32,Gather,Does this restaurant serve breakfast?,60
33C7UALJVLYR4Z2D2T6K20M3SJ281D,A88LHLWDGRJV5,17,Gather,Does this restaurant serve breakfast?,-100
33IZTU6J811HDK2FNKXWE0Q59SJXSP,AO63KMU3PGNJA,46,Gather,Does this restaurant serve breakfast?,60
34T446B1C0ET9D78NMIPQHZCDIK0CB,AHPOOKYE7V04D,46,Gather,Does this restaurant serve breakfast?,-100
35L9RVQFCOI067U47LAAQFKZ6ZNHUY,A2XEAXWY9B2PZ,38,Gather,Does this restaurant serve breakfast?,-100
36H9ULYP62U7EVS40WIWGSZB94FJF9,A33CFLCMJNHHNC,189,Gather,Does this restaurant serve breakfast?,-80
37KGEN7NJ3QFRJKW9CJLPIZRK9APPK,A1069M75YWK2LI,136,Gather,Does this restaurant serve breakfast?,60
37W3JXSD668ZK69YCLTZU30ZHBAYWC,A90LR4TO0WUKM,81,Gather,Does this restaurant serve breakfast?,-60
3CCZ6YKWR7JQ6MM688EA5MUVO5L59D,A3F7TD3W9043EO,10,Gather,Does this restaurant serve breakfast?,-100
3CFVK00FWLLHQSNT2OR521ZQKUI6LW,AQXSUU4I4DAH8,47,Gather,Does this restaurant serve breakfast?,60
3EFE17QCRC5KRU20IGFABE2BL23HSJ,A34WGHYYMQWJF0,74,Gather,Does this restaurant serve breakfast?,60
3EJJQNKU9R58QF2N3RF5L4XFZ0NRH8,A38XFEVWJDEUTN,8,Gather,Does this restaurant serve breakfast?,-80
3FK0YFF9PZG51NEOH01J12DRSL9VVT,A8SP23ECDU4F0,25,Gather,Does this restaurant serve breakfast?,-100
3HFNH7HEMHEUEISC668NVEB9OE5QG4,A35LEE74GHDV9U,32,Gather,Does this restaurant serve breakfast?,-80
3IJXV6UZ1XJ8MAD799XQLGYUZD4IRU,A1O2D67U4IBFS7,60,Gather,Does this restaurant serve breakfast?,-80
3IX2EGZR7BJ4HLXDRRIQXHDUCSJJRX,AO3XB5I5QNNUI,31,Gather,Does this restaurant serve breakfast?,-100
3KOPY89HM82CYJCBG1HUFJAE6ED3JN,A1ZDUMHAM754IJ,28,Gather,Does this restaurant serve breakfast?,-100
3KV0LJBBH2LUIT3YUOVID95BGMKRMF,ARB9I8FFYFQUA,45,Gather,Does this restaurant serve breakfast?,-100
3MTMREQS4VIYOOBVWFFJRHISEK9AWG,A2Q0G312LESWK7,56,Gather,Does this restaurant serve breakfast?,80
3NAPMVF0ZWFUT6FQBSESTJ0D95C273,A2GU2QUQZNSG9U,27,Gather,Does this restaurant serve breakfast?,-100
3OSWBBLG1EXBBVJXQU27J1458PAXDW,A99PQSI7FTY50,55,Gather,Does this restaurant serve breakfast?,100
3OVHNO1VE610GQJCRCQSGMKGGPFDZG,A3RO90I4O8I0O2,19,Gather,Does this restaurant serve breakfast?,80
3Q5ZZ9ZEVOFQSH3W3G8W5QZK4ZZ85N,A3JO9IL2MESBLR,28,Gather,Does this restaurant serve breakfast?,100
3QFUFYSY9YFHBD9JXPVSAQASR7R4F5,A3Q3B9T8H3I3AD,14,Gather,Does this restaurant serve breakfast?,80
3R5F3LQFV2KRKNA1HL48RGWFK3DZOQ,A34JILAPTYRH81,46,Gather,Does this restaurant serve breakfast?,100
3RU7GD8VPOTC4B0O1TNFKN427THPS0,AQOYZ1NB7R5UY,20,Gather,Does this restaurant serve breakfast?,-80
3SLE99ER0ND71TLSDGZMLWWGD40ZBS,A3S7JKTYDFADOJ,238,Gather,Does this restaurant serve breakfast?,-100
3TS1AR6UQQEEU0R2ZNTZD2U2I9I7FT,A2WRCFDQP56P00,52,Gather,Does this restaurant serve breakfast?,60
3XUHV3NRVKYJLS4P6K22I3SJ7I05HA,A29QUFNTIKS0YC,167,Gather,Does this restaurant serve breakfast?,-80
3Z2R0DQ0JHEF2LU0Y0SYZTSUVSGE21,A26AK8IVDJQ94M,6,Gather,Does this restaurant serve breakfast?,0
324G5B4FB38NXWCCW5AEAV7YC7M70I,A2UDSTAFD1DW3I,78,Great China,Does this restaurant have a drive-through?,-80
326O153BMIY25VSGVPCFVCJYSJZED4,A3F7TD3W9043EO,8,Great China,Does this restaurant have a drive-through?,-100
33PPUNGG385UH02H9DLCLB1KVQ4RZY,A1F2YZD2VD1CTM,50,Great China,Does this restaurant have a drive-through?,-80
34QN5IT0TZRRXAHV6A2KOV3TNRQ08W,A2GDWPK7UY0ZAL,8,Great China,Does this restaurant have a drive-through?,-60
36NEMU28XFDZQPKKTI5O08DS81VMW9,A2BZJAUH0XPO54,9,Great China,Does this restaurant have a drive-through?,-100
3AMYWKA6YBMPWDQQFG7XUI3KFZIO6Q,A380GOWGO4TCAW,33,Great China,Does this restaurant have a drive-through?,0
3EFVCAY5L39YZGIHSICQ60IPM0Y8JD,A1ELBAVMWP8JSO,29,Great China,Does this restaurant have a drive-through?,-60
3EFVCAY5L39YZGIHSICQ60IPM0Z8JE,A343KX1KNL437T,287,Great China,Does this restaurant have a drive-through?,-80
3FFJ6VRIL1OKMGT8FWEB1KX7QN20IB,A3F82HVRIPI02N,45,Great China,Does this restaurant have a drive-through?,-100
3HFNH7HEMHEUEISC668NVEB9OE0GQP,A38DC3BG1ZCVZ2,46,Great China,Does this restaurant have a drive-through?,-60
3HVVDCPGTES7SP54HGOO7JT0DHOYTI,A3LI0O659I8GFX,80,Great China,Does this restaurant have a drive-through?,-80
3I33IC7ZWF2CC8DOIVQC3A23ADI2AU,A2T52J2SNWINZP,43,Great China,Does this restaurant have a drive-through?,-100
3IOEN3P9S7J40LJP9E9MIMQCMOD16L,ASVEZ50XV0ZZR,15,Great China,Does this restaurant have a drive-through?,-100
3K5TEWLKGVB0FHUOIT20MDNXKJEVIX,A3RO90I4O8I0O2,557,Great China,Does this restaurant have a drive-through?,-60
3M68NM076H7STQI678O1OD8PQM86RN,AJQY1COCX4SZQ,75,Great China,Does this restaurant have a drive-through?,-100
3MH9DQ757WCM6BZTNFSS5F8YRZ8GUW,A2VHPHU19NCCYR,48,Great China,Does this restaurant have a drive-through?,-100
3ON104KXQKWJMZVENE5SEEWSMAEW4S,A30G5L7YI0SQTW,33,Great China,Does this restaurant have a drive-through?,-60
3PW9OPU9PQKGIK0OMCXJS9906JC216,A1NZ2JBACGMTMK,66,Great China,Does this restaurant have a drive-through?,-80
3QBD8R3Z21JBHQMCWSEIXKJ6J894OI,A8SP23ECDU4F0,29,Great China,Does this restaurant have a drive-through?,-80
3QFUFYSY9YFHBD9JXPVSAQASR7M4F0,A275NH66G89TSS,49,Great China,Does this restaurant have a drive-through?,0
3R3YRB5GRF3LWKMQ1F0I9TXVT42AUL,A26AK8IVDJQ94M,9,Great China,Does this restaurant have a drive-through?,0
3U4J9857OEBOHJFMUL73UC3H3BF7B0,A3P3RFU5NJXR5V,37,Great China,Does this restaurant have a drive-through?,-100
3U4J9857OEBOHJFMUL73UC3H3BOB7D,AXPRCC7MG94OA,132,Great China,Does this restaurant have a drive-through?,-60
